Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
91.86,19.05,17.1,17.53,1.07,75,59,68,12,2.78,2.83,2.88,0,0.0
91.86,19.05,17.1,17.53,1.29,75,59,68,12,1.46,1.56,1.66,1,0.0
91.86,19.05,17.1,17.53,1.28,75,59,68,12,7.69,8.15,8.62,1,0.0
91.86,19.05,17.1,17.53,1.27,75,59,68,12,4.98,5.27,5.57,2,10.35
91.86,19.05,17.1,17.53,1.08,75,59,68,12,3.98,4.05,4.13,2,8.59
91.86,19.05,17.1,17.53,1.54,75,59,68,12,5.05,5.62,6.18,3,8.89
91.86,19.05,17.1,17.53,1.05,75,59,68,12,2.08,2.1,2.12,2,0.0
91.86,19.05,17.1,17.53,1.0,75,59,68,12,1.66,1.66,1.66,3,0.0
91.86,19.05,17.1,17.53,1.0,75,59,68,12,1.27,1.27,1.27,3,10.45
91.86,19.05,17.1,17.53,1.55,75,59,68,12,1.44,1.61,1.78,4,0.0
91.86,19.05,17.1,17.53,1.43,75,59,68,12,2.05,2.25,2.44,2,0.0
91.86,19.05,17.1,17.53,1.14,75,59,68,12,1.51,1.56,1.61,3,8.69
91.86,19.05,17.1,17.53,1.08,75,59,68,12,4.98,5.08,5.18,3,0.0
91.86,19.05,17.1,17.53,1.55,75,59,68,12,1.44,1.61,1.78,4,0.0
91.86,19.05,17.1,17.53,1.11,75,59,68,12,1.81,1.86,1.9,3,0.0
91.86,19.05,17.1,17.53,1.76,75,59,68,12,0.93,1.07,1.22,4,0.0
91.86,19.05,17.1,17.53,1.1,75,59,68,12,2.0,2.05,2.1,4,0.0
91.86,19.05,17.1,17.53,2.42,75,59,68,12,0.66,0.83,1.0,5,0.0
91.86,19.05,17.1,17.53,1.59,75,59,68,12,2.34,2.64,2.93,1,0.0
91.86,19.05,17.1,17.53,1.15,75,59,68,12,2.12,2.2,2.27,2,0.0
91.86,19.05,17.1,17.53,1.22,75,59,68,12,6.57,6.88,7.2,1,0.0
91.86,19.05,17.1,17.53,1.12,75,59,68,12,1.71,1.76,1.81,2,0.0
91.86,19.05,17.1,17.53,1.28,75,59,68,12,4.27,4.54,4.81,2,12.11
91.86,19.05,17.1,17.53,1.31,75,59,68,12,2.42,2.59,2.76,3,0.0
91.86,19.05,17.1,17.53,1.15,75,59,68,12,3.44,3.56,3.69,1,0.0
91.86,19.05,17.1,17.53,1.04,75,59,68,12,2.66,2.69,2.71,2,10.74
91.86,19.05,17.1,17.53,1.4,75,59,68,12,7.03,7.62,8.2,2,0.0
91.86,19.05,17.1,17.53,1.17,75,59,68,12,1.83,1.9,1.98,3,0.0
91.86,19.05,17.1,17.53,1.0,75,59,68,12,3.32,3.32,3.32,2,8.2
91.86,19.05,17.1,17.53,1.57,75,59,68,12,2.22,2.49,2.76,3,9.96
91.86,19.05,17.1,17.53,1.02,75,59,68,12,5.3,5.32,5.35,3,12.01
91.86,19.05,17.1,17.53,1.1,75,59,68,12,2.0,2.05,2.1,4,0.0
