Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
89.17,14.74,14.74,16.65,1.37,75,44,53,12,3.93,4.25,4.57,0,0.0
89.17,14.74,14.74,16.65,1.2,75,44,53,12,5.42,5.66,5.91,1,0.0
89.17,14.74,14.74,16.65,1.02,75,44,53,12,8.74,8.79,8.84,1,0.0
89.17,14.74,14.74,16.65,1.01,75,44,53,12,10.38,10.4,10.42,2,10.35
89.17,14.74,14.74,16.65,1.19,75,44,53,12,3.27,3.42,3.56,2,10.74
89.17,14.74,14.74,16.65,1.19,75,44,53,12,1.64,1.71,1.78,3,9.96
89.17,14.74,14.74,16.65,1.36,75,44,53,12,2.44,2.64,2.83,2,0.0
89.17,14.74,14.74,16.65,1.31,75,44,53,12,3.15,3.37,3.59,3,0.0
89.17,14.74,14.74,16.65,1.3,75,44,53,12,1.78,1.9,2.03,3,8.69
89.17,14.74,14.74,16.65,5.06,75,44,53,12,0.59,0.88,1.17,4,0.0
89.17,14.74,14.74,16.65,1.1,75,44,53,12,3.2,3.27,3.34,2,0.0
89.17,14.74,14.74,16.65,2.36,75,44,53,12,2.08,2.59,3.1,3,8.89
89.17,14.74,14.74,16.65,1.08,75,44,53,12,5.18,5.27,5.37,3,0.0
89.17,14.74,14.74,16.65,1.24,75,44,53,12,2.69,2.83,2.98,4,0.0
89.17,14.74,14.74,16.65,1.18,75,44,53,12,2.95,3.08,3.2,3,0.0
89.17,14.74,14.74,16.65,1.11,75,44,53,12,1.9,1.95,2.0,4,0.0
89.17,14.74,14.74,16.65,1.14,75,44,53,12,1.51,1.56,1.61,4,0.0
89.17,14.74,14.74,16.65,1.15,75,44,53,12,1.42,1.46,1.51,5,0.0
89.17,14.74,14.74,16.65,1.05,75,44,53,12,1.88,1.9,1.93,1,0.0
89.17,14.74,14.74,16.65,1.06,75,44,53,12,1.59,1.61,1.64,2,0.0
89.17,14.74,14.74,16.65,1.21,75,44,53,12,7.57,7.91,8.25,1,0.0
89.17,14.74,14.74,16.65,1.04,75,44,53,12,2.66,2.69,2.71,2,0.0
89.17,14.74,14.74,16.65,1.32,75,44,53,12,4.2,4.49,4.78,2,8.2
89.17,14.74,14.74,16.65,1.25,75,44,53,12,1.24,1.32,1.39,3,0.0
89.17,14.74,14.74,16.65,1.34,75,44,53,12,2.54,2.73,2.93,1,0.0
89.17,14.74,14.74,16.65,1.25,75,44,53,12,1.66,1.76,1.86,2,12.11
89.17,14.74,14.74,16.65,2.24,75,44,53,12,1.9,2.34,2.78,2,0.0
89.17,14.74,14.74,16.65,1.51,75,44,53,12,0.88,0.98,1.07,3,0.0
89.17,14.74,14.74,16.65,1.07,75,44,53,12,2.88,2.93,2.98,2,8.59
89.17,14.74,14.74,16.65,1.3,75,44,53,12,1.05,1.12,1.2,3,10.45
89.17,14.74,14.74,16.65,1.19,75,44,53,12,2.25,2.34,2.44,3,12.01
89.17,14.74,14.74,16.65,1.13,75,44,53,12,0.81,0.83,0.85,4,0.0
