Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
86.27,28.91,31.75,27.21,1.19,75,47,56,12,4.59,4.78,4.98,0,0.0
86.27,28.91,31.75,27.21,1.21,75,47,56,12,2.56,2.69,2.81,1,0.0
86.27,28.91,31.75,27.21,1.31,75,47,56,12,2.1,2.25,2.39,1,0.0
86.27,28.91,31.75,27.21,1.23,75,47,56,12,1.86,1.95,2.05,2,8.2
86.27,28.91,31.75,27.21,1.54,75,47,56,12,2.1,2.34,2.59,2,10.74
86.27,28.91,31.75,27.21,1.79,75,47,56,12,1.98,2.3,2.61,3,8.69
86.27,28.91,31.75,27.21,1.05,75,47,56,12,3.96,4.0,4.05,2,0.0
86.27,28.91,31.75,27.21,1.19,75,47,56,12,2.76,2.88,3.0,3,0.0
86.27,28.91,31.75,27.21,1.07,75,47,56,12,3.08,3.12,3.17,3,9.96
86.27,28.91,31.75,27.21,1.06,75,47,56,12,1.78,1.81,1.83,4,0.0
86.27,28.91,31.75,27.21,1.35,75,47,56,12,4.44,4.78,5.13,2,0.0
86.27,28.91,31.75,27.21,1.34,75,47,56,12,4.22,4.54,4.86,3,12.01
86.27,28.91,31.75,27.21,1.26,75,47,56,12,2.9,3.08,3.25,3,0.0
86.27,28.91,31.75,27.21,1.2,75,47,56,12,2.05,2.15,2.25,4,0.0
86.27,28.91,31.75,27.21,1.15,75,47,56,12,5.15,5.32,5.49,3,0.0
86.27,28.91,31.75,27.21,1.12,75,47,56,12,2.51,2.59,2.66,4,0.0
86.27,28.91,31.75,27.21,1.56,75,47,56,12,2.44,2.73,3.03,4,0.0
86.27,28.91,31.75,27.21,1.05,75,47,56,12,1.88,1.9,1.93,5,0.0
86.27,28.91,31.75,27.21,1.08,75,47,56,12,3.78,3.86,3.93,1,0.0
86.27,28.91,31.75,27.21,1.16,75,47,56,12,3.96,4.1,4.25,2,0.0
86.27,28.91,31.75,27.21,1.2,75,47,56,12,3.17,3.32,3.47,1,0.0
86.27,28.91,31.75,27.21,1.0,75,47,56,12,3.03,3.03,3.03,2,0.0
86.27,28.91,31.75,27.21,1.15,75,47,56,12,2.12,2.2,2.27,2,10.35
86.27,28.91,31.75,27.21,1.0,75,47,56,12,2.54,2.54,2.54,3,0.0
86.27,28.91,31.75,27.21,1.43,75,47,56,12,3.66,4.0,4.35,1,0.0
86.27,28.91,31.75,27.21,1.03,75,47,56,12,3.05,3.08,3.1,2,8.59
86.27,28.91,31.75,27.21,1.69,75,47,56,12,2.73,3.12,3.52,2,0.0
86.27,28.91,31.75,27.21,1.81,75,47,56,12,1.64,1.9,2.17,3,0.0
86.27,28.91,31.75,27.21,1.13,75,47,56,12,4.74,4.88,5.03,2,12.11
86.27,28.91,31.75,27.21,1.11,75,47,56,12,3.91,4.0,4.1,3,10.45
86.27,28.91,31.75,27.21,1.31,75,47,56,12,2.1,2.25,2.39,3,8.89
86.27,28.91,31.75,27.21,1.22,75,47,56,12,2.37,2.49,2.61,4,0.0
