Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
90.73,29.0,29.82,27.69,1.33,75,44,56,10,3.69,3.96,4.22,0,0.0
90.73,29.0,29.82,27.69,1.13,75,44,56,10,3.12,3.22,3.32,1,0.0
90.73,29.0,29.82,27.69,1.24,75,44,56,10,3.1,3.27,3.44,1,0.0
90.73,29.0,29.82,27.69,1.6,75,44,56,10,2.9,3.27,3.64,2,10.45
90.73,29.0,29.82,27.69,1.0,75,44,56,10,4.59,4.59,4.59,2,12.11
90.73,29.0,29.82,27.69,1.28,75,44,56,10,3.44,3.66,3.88,3,12.01
90.73,29.0,29.82,27.69,1.16,75,44,56,10,2.64,2.73,2.83,2,0.0
90.73,29.0,29.82,27.69,1.51,75,44,56,10,1.98,2.2,2.42,3,0.0
90.73,29.0,29.82,27.69,1.33,75,44,56,10,2.32,2.49,2.66,3,8.59
90.73,29.0,29.82,27.69,1.76,75,44,56,10,2.54,2.93,3.32,4,0.0
90.73,29.0,29.82,27.69,1.22,75,44,56,10,3.39,3.56,3.74,2,0.0
90.73,29.0,29.82,27.69,1.04,75,44,56,10,2.76,2.78,2.81,3,8.89
90.73,29.0,29.82,27.69,1.74,75,44,56,10,2.42,2.78,3.15,3,0.0
90.73,29.0,29.82,27.69,1.21,75,44,56,10,2.47,2.59,2.71,4,0.0
90.73,29.0,29.82,27.69,1.04,75,44,56,10,2.37,2.39,2.42,3,0.0
90.73,29.0,29.82,27.69,1.0,75,44,56,10,2.05,2.05,2.05,4,0.0
90.73,29.0,29.82,27.69,1.57,75,44,56,10,2.22,2.49,2.76,4,0.0
90.73,29.0,29.82,27.69,1.19,75,44,56,10,1.64,1.71,1.78,5,0.0
90.73,29.0,29.82,27.69,1.35,75,44,56,10,3.81,4.1,4.4,1,0.0
90.73,29.0,29.82,27.69,1.26,75,44,56,10,4.66,4.93,5.2,2,0.0
90.73,29.0,29.82,27.69,1.67,75,44,56,10,3.17,3.61,4.05,1,0.0
90.73,29.0,29.82,27.69,1.67,75,44,56,10,2.27,2.59,2.9,2,0.0
90.73,29.0,29.82,27.69,1.69,75,44,56,10,3.64,4.15,4.66,2,8.2
90.73,29.0,29.82,27.69,1.11,75,44,56,10,3.81,3.91,4.0,3,0.0
90.73,29.0,29.82,27.69,1.36,75,44,56,10,2.44,2.64,2.83,1,0.0
90.73,29.0,29.82,27.69,1.49,75,44,56,10,2.51,2.78,3.05,2,9.96
90.73,29.0,29.82,27.69,1.22,75,44,56,10,4.0,4.2,4.4,2,0.0
90.73,29.0,29.82,27.69,1.08,75,44,56,10,3.69,3.76,3.83,3,0.0
90.73,29.0,29.82,27.69,1.67,75,44,56,10,2.27,2.59,2.9,2,10.35
90.73,29.0,29.82,27.69,1.0,75,44,56,10,2.44,2.44,2.44,3,8.69
90.73,29.0,29.82,27.69,1.36,75,44,56,10,2.44,2.64,2.83,3,10.74
90.73,29.0,29.82,27.69,1.56,75,44,56,10,2.66,2.98,3.3,4,0.0
