Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
48.82,20.72,16.95,17.53,1.23,75,47,56,12,3.71,3.91,4.1,0,0.0
48.82,20.72,16.95,17.53,1.49,75,47,56,12,2.3,2.54,2.78,1,0.0
48.82,20.72,16.95,17.53,1.47,75,47,56,12,4.44,4.88,5.32,1,0.0
48.82,20.72,16.95,17.53,1.12,75,47,56,12,4.22,4.35,4.47,2,8.2
48.82,20.72,16.95,17.53,1.05,75,47,56,12,3.86,3.91,3.96,2,10.74
48.82,20.72,16.95,17.53,1.03,75,47,56,12,3.54,3.56,3.59,3,8.69
48.82,20.72,16.95,17.53,1.37,75,47,56,12,2.98,3.22,3.47,2,0.0
48.82,20.72,16.95,17.53,2.18,75,47,56,12,1.76,2.15,2.54,3,0.0
48.82,20.72,16.95,17.53,1.34,75,47,56,12,1.9,2.05,2.2,3,9.96
48.82,20.72,16.95,17.53,1.42,75,47,56,12,1.83,2.0,2.17,4,0.0
48.82,20.72,16.95,17.53,1.14,75,47,56,12,3.64,3.76,3.88,2,0.0
48.82,20.72,16.95,17.53,1.07,75,47,56,12,1.49,1.51,1.54,3,12.01
48.82,20.72,16.95,17.53,1.38,75,47,56,12,2.03,2.2,2.37,3,0.0
48.82,20.72,16.95,17.53,1.0,75,47,56,12,2.34,2.34,2.34,4,0.0
48.82,20.72,16.95,17.53,1.69,75,47,56,12,2.73,3.12,3.52,3,0.0
48.82,20.72,16.95,17.53,1.22,75,47,56,12,1.44,1.51,1.59,4,0.0
48.82,20.72,16.95,17.53,1.0,75,47,56,12,2.15,2.15,2.15,4,0.0
48.82,20.72,16.95,17.53,1.0,75,47,56,12,1.66,1.66,1.66,5,0.0
48.82,20.72,16.95,17.53,1.26,75,47,56,12,2.49,2.64,2.78,1,0.0
48.82,20.72,16.95,17.53,1.33,75,47,56,12,2.64,2.83,3.03,2,0.0
48.82,20.72,16.95,17.53,1.09,75,47,56,12,3.49,3.56,3.64,1,0.0
48.82,20.72,16.95,17.53,1.15,75,47,56,12,2.73,2.83,2.93,2,0.0
48.82,20.72,16.95,17.53,1.22,75,47,56,12,2.37,2.49,2.61,2,10.35
48.82,20.72,16.95,17.53,1.1,75,47,56,12,3.0,3.08,3.15,3,0.0
48.82,20.72,16.95,17.53,1.07,75,47,56,12,7.94,8.06,8.18,1,0.0
48.82,20.72,16.95,17.53,1.09,75,47,56,12,3.49,3.56,3.64,2,8.59
48.82,20.72,16.95,17.53,1.17,75,47,56,12,1.83,1.9,1.98,2,0.0
48.82,20.72,16.95,17.53,1.16,75,47,56,12,4.05,4.2,4.35,3,0.0
48.82,20.72,16.95,17.53,1.14,75,47,56,12,5.54,5.71,5.88,2,12.11
48.82,20.72,16.95,17.53,1.12,75,47,56,12,3.61,3.71,3.81,3,10.45
48.82,20.72,16.95,17.53,1.09,75,47,56,12,2.2,2.25,2.3,3,8.89
48.82,20.72,16.95,17.53,1.29,75,47,56,12,2.2,2.34,2.49,4,0.0
