Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
84.07,15.4,28.72,15.07,1.29,75,44,56,10,5.74,6.1,6.47,0,0.0
84.07,15.4,28.72,15.07,1.32,75,44,56,10,4.2,4.49,4.78,1,0.0
84.07,15.4,28.72,15.07,1.38,75,44,56,10,4.47,4.83,5.2,1,0.0
84.07,15.4,28.72,15.07,1.04,75,44,56,10,5.22,5.27,5.32,2,8.2
84.07,15.4,28.72,15.07,1.03,75,44,56,10,3.54,3.56,3.59,2,10.74
84.07,15.4,28.72,15.07,1.1,75,44,56,10,2.0,2.05,2.1,3,8.69
84.07,15.4,28.72,15.07,1.0,75,44,56,10,1.86,1.86,1.86,2,0.0
84.07,15.4,28.72,15.07,1.13,75,44,56,10,1.61,1.66,1.71,3,0.0
84.07,15.4,28.72,15.07,1.2,75,44,56,10,1.54,1.61,1.68,3,9.96
84.07,15.4,28.72,15.07,1.4,75,44,56,10,0.54,0.59,0.64,4,0.0
84.07,15.4,28.72,15.07,1.36,75,44,56,10,3.71,4.0,4.3,2,0.0
84.07,15.4,28.72,15.07,1.65,75,44,56,10,2.15,2.44,2.73,3,12.01
84.07,15.4,28.72,15.07,1.15,75,44,56,10,2.03,2.1,2.17,3,0.0
84.07,15.4,28.72,15.07,1.0,75,44,56,10,1.17,1.17,1.17,4,0.0
84.07,15.4,28.72,15.07,1.31,75,44,56,10,2.1,2.25,2.39,3,0.0
84.07,15.4,28.72,15.07,1.07,75,44,56,10,1.49,1.51,1.54,4,0.0
84.07,15.4,28.72,15.07,1.87,75,44,56,10,0.83,0.98,1.12,4,0.0
84.07,15.4,28.72,15.07,1.72,75,44,56,10,0.81,0.93,1.05,5,0.0
84.07,15.4,28.72,15.07,1.0,75,44,56,10,4.98,4.98,4.98,1,0.0
84.07,15.4,28.72,15.07,1.21,75,44,56,10,3.08,3.22,3.37,2,0.0
84.07,15.4,28.72,15.07,1.1,75,44,56,10,4.1,4.2,4.3,1,0.0
84.07,15.4,28.72,15.07,1.22,75,44,56,10,1.95,2.05,2.15,2,0.0
84.07,15.4,28.72,15.07,1.31,75,44,56,10,3.88,4.15,4.42,2,10.35
84.07,15.4,28.72,15.07,1.05,75,44,56,10,2.08,2.1,2.12,3,0.0
84.07,15.4,28.72,15.07,1.04,75,44,56,10,8.67,8.74,8.81,1,0.0
84.07,15.4,28.72,15.07,1.46,75,44,56,10,5.52,6.06,6.59,2,8.59
84.07,15.4,28.72,15.07,1.32,75,44,56,10,2.73,2.93,3.12,2,0.0
84.07,15.4,28.72,15.07,1.13,75,44,56,10,2.32,2.39,2.47,3,0.0
84.07,15.4,28.72,15.07,1.03,75,44,56,10,6.2,6.25,6.3,2,12.11
84.07,15.4,28.72,15.07,1.57,75,44,56,10,2.0,2.25,2.49,3,10.45
84.07,15.4,28.72,15.07,1.38,75,44,56,10,1.71,1.86,2.0,3,8.89
84.07,15.4,28.72,15.07,1.23,75,44,56,10,1.34,1.42,1.49,4,0.0
