Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
70.23,18.38,14.91,15.56,1.21,75,38,44,10,2.56,2.69,2.81,0,0.0
70.23,18.38,14.91,15.56,1.79,75,38,44,10,1.98,2.3,2.61,1,0.0
70.23,18.38,14.91,15.56,1.02,75,38,44,10,6.66,6.69,6.71,1,0.0
70.23,18.38,14.91,15.56,1.08,75,38,44,10,5.37,5.47,5.57,2,8.2
70.23,18.38,14.91,15.56,1.37,75,38,44,10,5.52,5.96,6.4,2,10.74
70.23,18.38,14.91,15.56,1.02,75,38,44,10,4.61,4.64,4.66,3,9.96
70.23,18.38,14.91,15.56,1.51,75,38,44,10,1.32,1.46,1.61,2,0.0
70.23,18.38,14.91,15.56,1.33,75,38,44,10,2.64,2.83,3.03,3,0.0
70.23,18.38,14.91,15.56,1.68,75,38,44,10,1.71,1.95,2.2,3,8.69
70.23,18.38,14.91,15.56,1.28,75,38,44,10,2.3,2.44,2.59,4,0.0
70.23,18.38,14.91,15.56,1.07,75,38,44,10,2.78,2.83,2.88,2,0.0
70.23,18.38,14.91,15.56,1.3,75,38,44,10,2.93,3.12,3.32,3,12.01
70.23,18.38,14.91,15.56,1.0,75,38,44,10,0.59,0.59,0.59,3,0.0
70.23,18.38,14.91,15.56,1.38,75,38,44,10,0.85,0.93,1.0,4,0.0
70.23,18.38,14.91,15.56,2.21,75,38,44,10,1.39,1.71,2.03,3,0.0
70.23,18.38,14.91,15.56,1.06,75,38,44,10,1.59,1.61,1.64,4,0.0
70.23,18.38,14.91,15.56,1.14,75,38,44,10,0.71,0.73,0.76,4,0.0
70.23,18.38,14.91,15.56,2.21,75,38,44,10,0.64,0.78,0.93,5,0.0
70.23,18.38,14.91,15.56,1.08,75,38,44,10,2.59,2.64,2.69,1,0.0
70.23,18.38,14.91,15.56,1.36,75,38,44,10,2.44,2.64,2.83,2,0.0
70.23,18.38,14.91,15.56,1.07,75,38,44,10,2.98,3.03,3.08,1,0.0
70.23,18.38,14.91,15.56,1.2,75,38,44,10,2.05,2.15,2.25,2,0.0
70.23,18.38,14.91,15.56,1.02,75,38,44,10,5.59,5.62,5.64,2,10.35
70.23,18.38,14.91,15.56,1.0,75,38,44,10,2.83,2.83,2.83,3,0.0
70.23,18.38,14.91,15.56,1.43,75,38,44,10,4.83,5.27,5.71,1,0.0
70.23,18.38,14.91,15.56,1.13,75,38,44,10,6.54,6.74,6.93,2,12.11
70.23,18.38,14.91,15.56,1.29,75,38,44,10,2.61,2.78,2.95,2,0.0
70.23,18.38,14.91,15.56,1.04,75,38,44,10,2.56,2.59,2.61,3,0.0
70.23,18.38,14.91,15.56,1.1,75,38,44,10,5.4,5.52,5.64,2,8.59
70.23,18.38,14.91,15.56,1.19,75,38,44,10,3.37,3.52,3.66,3,10.45
70.23,18.38,14.91,15.56,1.92,75,38,44,10,2.86,3.37,3.88,3,8.89
70.23,18.38,14.91,15.56,1.42,75,38,44,10,2.37,2.59,2.81,4,0.0
