Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
71.06,32.26,35.43,30.97,1.44,75,47,61,10,2.27,2.49,2.71,0,0.0
71.06,32.26,35.43,30.97,1.03,75,47,61,10,3.44,3.47,3.49,1,0.0
71.06,32.26,35.43,30.97,1.0,75,47,61,10,3.32,3.32,3.32,1,0.0
71.06,32.26,35.43,30.97,1.09,75,47,61,10,4.69,4.78,4.88,2,8.2
71.06,32.26,35.43,30.97,1.07,75,47,61,10,4.47,4.54,4.61,2,10.35
71.06,32.26,35.43,30.97,1.14,75,47,61,10,3.64,3.76,3.88,3,10.74
71.06,32.26,35.43,30.97,1.08,75,47,61,10,2.49,2.54,2.59,2,0.0
71.06,32.26,35.43,30.97,1.06,75,47,61,10,1.78,1.81,1.83,3,0.0
71.06,32.26,35.43,30.97,1.45,75,47,61,10,3.03,3.32,3.61,3,8.69
71.06,32.26,35.43,30.97,1.94,75,47,61,10,1.44,1.71,1.98,4,0.0
71.06,32.26,35.43,30.97,1.07,75,47,61,10,1.49,1.51,1.54,2,0.0
71.06,32.26,35.43,30.97,1.02,75,47,61,10,4.22,4.25,4.27,3,8.59
71.06,32.26,35.43,30.97,1.07,75,47,61,10,1.49,1.51,1.54,3,0.0
71.06,32.26,35.43,30.97,1.1,75,47,61,10,1.0,1.03,1.05,4,0.0
71.06,32.26,35.43,30.97,1.07,75,47,61,10,1.39,1.42,1.44,3,0.0
71.06,32.26,35.43,30.97,1.12,75,47,61,10,2.51,2.59,2.66,4,0.0
71.06,32.26,35.43,30.97,1.51,75,47,61,10,1.76,1.95,2.15,4,0.0
71.06,32.26,35.43,30.97,1.08,75,47,61,10,1.29,1.32,1.34,5,0.0
71.06,32.26,35.43,30.97,1.31,75,47,61,10,3.56,3.81,4.05,1,0.0
71.06,32.26,35.43,30.97,1.33,75,47,61,10,2.32,2.49,2.66,2,0.0
71.06,32.26,35.43,30.97,1.1,75,47,61,10,3.0,3.08,3.15,1,0.0
71.06,32.26,35.43,30.97,1.43,75,47,61,10,2.59,2.83,3.08,2,0.0
71.06,32.26,35.43,30.97,1.18,75,47,61,10,4.78,4.98,5.18,2,9.96
71.06,32.26,35.43,30.97,1.42,75,47,61,10,1.83,2.0,2.17,3,0.0
71.06,32.26,35.43,30.97,1.24,75,47,61,10,2.17,2.3,2.42,1,0.0
71.06,32.26,35.43,30.97,1.13,75,47,61,10,5.74,5.91,6.08,2,12.11
71.06,32.26,35.43,30.97,1.08,75,47,61,10,2.59,2.64,2.69,2,0.0
71.06,32.26,35.43,30.97,1.43,75,47,61,10,2.05,2.25,2.44,3,0.0
71.06,32.26,35.43,30.97,1.09,75,47,61,10,4.49,4.59,4.69,2,10.45
71.06,32.26,35.43,30.97,1.03,75,47,61,10,7.28,7.32,7.37,3,12.01
71.06,32.26,35.43,30.97,1.13,75,47,61,10,5.84,6.01,6.18,3,8.89
71.06,32.26,35.43,30.97,1.13,75,47,61,10,2.42,2.49,2.56,4,0.0
