Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
19.19,15.4,17.96,17.82,1.03,210,45,115,11,12.48,12.55,12.62,0,0.98
19.19,15.4,17.96,17.82,1.14,210,45,115,11,7.25,7.47,7.69,1,0.49
19.19,15.4,17.96,17.82,1.06,210,45,115,11,11.67,11.82,11.96,1,8.89
19.19,15.4,17.96,17.82,1.29,210,45,115,11,3.34,3.56,3.78,2,0.0
19.19,15.4,17.96,17.82,1.2,210,45,115,11,4.4,4.59,4.78,1,0.29
19.19,15.4,17.96,17.82,1.17,210,45,115,11,5.18,5.37,5.57,2,9.57
19.19,15.4,17.96,17.82,1.11,210,45,115,11,18.87,19.29,19.7,2,63.67
19.19,15.4,17.96,17.82,1.44,210,45,115,11,3.88,4.25,4.61,3,2.25
19.19,15.4,17.96,17.82,1.14,210,45,115,11,4.64,4.78,4.93,1,0.39
19.19,15.4,17.96,17.82,1.0,210,45,115,11,3.32,3.32,3.32,2,1.46
19.19,15.4,17.96,17.82,1.15,210,45,115,11,6.47,6.69,6.91,2,6.54
19.19,15.4,17.96,17.82,1.17,210,45,115,11,3.76,3.91,4.05,3,0.0
19.19,15.4,17.96,17.82,1.1,210,45,115,11,4.2,4.3,4.4,2,0.2
19.19,15.4,17.96,17.82,1.04,210,45,115,11,2.56,2.59,2.61,3,0.2
19.19,15.4,17.96,17.82,1.02,210,45,115,11,4.13,4.15,4.18,3,4.98
19.19,15.4,17.96,17.82,1.81,210,45,115,11,1.17,1.37,1.56,4,0.1
