Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
17.68,12.55,14.4,14.91,1.31,210,45,119,11,4.71,5.03,5.35,0,0.98
17.68,12.55,14.4,14.91,1.22,210,45,119,11,5.54,5.81,6.08,1,0.49
17.68,12.55,14.4,14.91,1.19,210,45,119,11,7.03,7.32,7.62,1,8.11
17.68,12.55,14.4,14.91,1.2,210,45,119,11,2.05,2.15,2.25,2,0.0
17.68,12.55,14.4,14.91,1.35,210,45,119,11,4.86,5.22,5.59,1,0.49
17.68,12.55,14.4,14.91,1.19,210,45,119,11,2.25,2.34,2.44,2,9.47
17.68,12.55,14.4,14.91,1.16,210,45,119,11,8.5,8.79,9.08,2,63.48
17.68,12.55,14.4,14.91,1.17,210,45,119,11,3.15,3.27,3.39,3,2.34
17.68,12.55,14.4,14.91,1.24,210,45,119,11,11.21,11.77,12.33,1,0.98
17.68,12.55,14.4,14.91,1.07,210,45,119,11,2.88,2.93,2.98,2,1.46
17.68,12.55,14.4,14.91,1.15,210,45,119,11,20.6,21.19,21.78,2,6.64
17.68,12.55,14.4,14.91,1.04,210,45,119,11,2.47,2.49,2.51,3,0.2
17.68,12.55,14.4,14.91,1.32,210,45,119,11,6.3,6.74,7.18,2,0.29
17.68,12.55,14.4,14.91,1.06,210,45,119,11,3.27,3.32,3.37,3,0.0
17.68,12.55,14.4,14.91,1.15,210,45,119,11,5.57,5.76,5.96,3,4.98
17.68,12.55,14.4,14.91,1.38,210,45,119,11,5.42,5.86,6.3,4,0.1
