Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
28.44,25.1,26.62,26.82,1.17,210,45,108,11,11.04,11.43,11.82,0,0.98
28.44,25.1,26.62,26.82,1.04,210,45,108,11,2.47,2.49,2.51,1,0.29
28.44,25.1,26.62,26.82,1.46,210,45,108,11,5.52,6.06,6.59,1,8.89
28.44,25.1,26.62,26.82,1.0,210,45,108,11,3.42,3.42,3.42,2,0.0
28.44,25.1,26.62,26.82,1.39,210,45,108,11,5.96,6.44,6.93,1,0.0
28.44,25.1,26.62,26.82,1.1,210,45,108,11,5.4,5.52,5.64,2,9.47
28.44,25.1,26.62,26.82,1.27,210,45,108,11,16.68,17.53,18.38,2,64.06
28.44,25.1,26.62,26.82,1.61,210,45,108,11,3.25,3.66,4.08,3,2.34
28.44,25.1,26.62,26.82,1.17,210,45,108,11,12.84,13.28,13.72,1,0.68
28.44,25.1,26.62,26.82,1.09,210,45,108,11,3.49,3.56,3.64,2,2.15
28.44,25.1,26.62,26.82,1.11,210,45,108,11,7.2,7.37,7.54,2,7.71
28.44,25.1,26.62,26.82,1.14,210,45,108,11,3.03,3.12,3.22,3,0.0
28.44,25.1,26.62,26.82,1.03,210,45,108,11,6.1,6.15,6.2,2,0.0
28.44,25.1,26.62,26.82,1.19,210,45,108,11,2.76,2.88,3.0,3,0.1
28.44,25.1,26.62,26.82,1.28,210,45,108,11,4.69,4.98,5.27,3,3.22
28.44,25.1,26.62,26.82,1.15,210,45,108,11,2.03,2.1,2.17,4,0.1
