Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
27.88,29.64,27.01,29.09,1.76,210,45,105,9,4.37,5.03,5.69,0,0.98
27.88,29.64,27.01,29.09,1.07,210,45,105,9,6.35,6.44,6.54,1,0.39
27.88,29.64,27.01,29.09,1.09,210,45,105,9,5.69,5.81,5.93,1,8.11
27.88,29.64,27.01,29.09,1.09,210,45,105,9,5.69,5.81,5.93,2,0.1
27.88,29.64,27.01,29.09,1.18,210,45,105,9,7.52,7.81,8.1,1,0.78
27.88,29.64,27.01,29.09,1.16,210,45,105,9,8.2,8.5,8.79,2,11.33
27.88,29.64,27.01,29.09,1.01,210,45,105,9,7.74,7.76,7.79,2,64.55
27.88,29.64,27.01,29.09,1.01,210,45,105,9,7.45,7.47,7.5,3,2.34
27.88,29.64,27.01,29.09,1.39,210,45,105,9,4.37,4.74,5.1,1,0.49
27.88,29.64,27.01,29.09,1.19,210,45,105,9,5.0,5.22,5.44,2,1.76
27.88,29.64,27.01,29.09,1.15,210,45,105,9,4.96,5.13,5.3,2,5.27
27.88,29.64,27.01,29.09,1.16,210,45,105,9,5.27,5.47,5.66,3,0.2
27.88,29.64,27.01,29.09,1.3,210,45,105,9,6.06,6.44,6.84,2,0.2
27.88,29.64,27.01,29.09,1.15,210,45,105,9,6.66,6.88,7.1,3,0.0
27.88,29.64,27.01,29.09,1.42,210,45,105,9,5.47,5.96,6.44,3,3.42
27.88,29.64,27.01,29.09,1.28,210,45,105,9,5.2,5.52,5.84,4,0.1
