Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
19.58,10.15,19.19,18.51,1.07,210,45,110,11,11.3,11.48,11.65,0,0.98
19.58,10.15,19.19,18.51,1.15,210,45,110,11,4.15,4.3,4.44,1,0.29
19.58,10.15,19.19,18.51,1.26,210,45,110,11,7.86,8.3,8.74,1,8.98
19.58,10.15,19.19,18.51,1.36,210,45,110,11,1.81,1.95,2.1,2,0.0
19.58,10.15,19.19,18.51,1.0,210,45,110,11,8.1,8.1,8.1,1,0.29
19.58,10.15,19.19,18.51,1.23,210,45,110,11,5.86,6.15,6.44,2,10.94
19.58,10.15,19.19,18.51,1.11,210,45,110,11,27.49,28.03,28.56,2,63.77
19.58,10.15,19.19,18.51,1.21,210,45,110,11,2.56,2.69,2.81,3,1.95
19.58,10.15,19.19,18.51,1.03,210,45,110,11,6.01,6.06,6.1,1,0.59
19.58,10.15,19.19,18.51,1.13,210,45,110,11,2.42,2.49,2.56,2,3.03
19.58,10.15,19.19,18.51,1.27,210,45,110,11,8.08,8.54,9.01,2,5.76
19.58,10.15,19.19,18.51,1.46,210,45,110,11,1.2,1.32,1.44,3,0.0
19.58,10.15,19.19,18.51,1.13,210,45,110,11,2.32,2.39,2.47,2,0.0
19.58,10.15,19.19,18.51,1.47,210,45,110,11,1.42,1.56,1.71,3,0.1
19.58,10.15,19.19,18.51,1.5,210,45,110,11,4.91,5.42,5.93,3,3.22
19.58,10.15,19.19,18.51,2.14,210,45,110,11,1.0,1.22,1.44,4,0.1
