Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
12.94,14.04,13.13,13.13,1.67,210,45,103,9,5.86,6.64,7.42,0,0.98
12.94,14.04,13.13,13.13,1.18,210,45,103,9,3.56,3.71,3.86,1,0.39
12.94,14.04,13.13,13.13,1.16,210,45,103,9,9.62,9.96,10.3,1,8.11
12.94,14.04,13.13,13.13,1.21,210,45,103,9,3.08,3.22,3.37,2,0.1
12.94,14.04,13.13,13.13,1.12,210,45,103,9,7.03,7.23,7.42,1,0.78
12.94,14.04,13.13,13.13,1.37,210,45,103,9,6.25,6.74,7.23,2,11.33
12.94,14.04,13.13,13.13,1.02,210,45,103,9,28.81,28.91,29.0,2,64.55
12.94,14.04,13.13,13.13,1.0,210,45,103,9,3.12,3.12,3.12,3,2.34
12.94,14.04,13.13,13.13,1.03,210,45,103,9,3.34,3.37,3.39,1,0.49
12.94,14.04,13.13,13.13,1.21,210,45,103,9,2.56,2.69,2.81,2,1.76
12.94,14.04,13.13,13.13,1.08,210,45,103,9,6.47,6.59,6.71,2,5.27
12.94,14.04,13.13,13.13,1.54,210,45,103,9,1.88,2.1,2.32,3,0.2
12.94,14.04,13.13,13.13,1.04,210,45,103,9,2.76,2.78,2.81,2,0.2
12.94,14.04,13.13,13.13,1.04,210,45,103,9,2.47,2.49,2.51,3,0.0
12.94,14.04,13.13,13.13,1.32,210,45,103,9,7.86,8.4,8.94,3,3.42
12.94,14.04,13.13,13.13,1.48,210,45,103,9,1.86,2.05,2.25,4,0.1
