Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
13.87,13.5,12.15,13.13,1.34,210,15,78,9,3.27,3.52,3.76,0,0.98
13.87,13.5,12.15,13.13,1.0,210,15,78,9,2.83,2.83,2.83,1,0.29
13.87,13.5,12.15,13.13,1.09,210,15,78,9,9.57,9.77,9.96,1,8.69
13.87,13.5,12.15,13.13,1.87,210,15,78,9,0.83,0.98,1.12,2,0.0
13.87,13.5,12.15,13.13,1.09,210,15,78,9,4.59,4.69,4.78,1,0.59
13.87,13.5,12.15,13.13,1.32,210,15,78,9,7.86,8.4,8.94,2,12.11
13.87,13.5,12.15,13.13,1.09,210,15,78,9,44.6,45.17,45.73,2,63.57
13.87,13.5,12.15,13.13,1.1,210,15,78,9,5.2,5.32,5.44,3,2.34
13.87,13.5,12.15,13.13,1.29,210,15,78,9,3.03,3.22,3.42,1,0.49
13.87,13.5,12.15,13.13,1.36,210,15,78,9,2.44,2.64,2.83,2,1.56
13.87,13.5,12.15,13.13,1.17,210,15,78,9,8.52,8.84,9.16,2,5.86
13.87,13.5,12.15,13.13,1.2,210,15,78,9,0.51,0.54,0.56,3,0.1
13.87,13.5,12.15,13.13,2.34,210,15,78,9,0.39,0.49,0.59,2,0.0
13.87,13.5,12.15,13.13,2.34,210,15,78,9,0.39,0.49,0.59,3,0.1
13.87,13.5,12.15,13.13,1.24,210,15,78,9,2.69,2.83,2.98,3,3.22
13.87,13.5,12.15,13.13,1.0,210,15,78,9,0.59,0.59,0.59,4,0.1
