Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
25.62,28.63,23.06,25.62,1.18,210,48,117,9,6.01,6.25,6.49,0,0.98
25.62,28.63,23.06,25.62,1.08,210,48,117,9,3.78,3.86,3.93,1,0.29
25.62,28.63,23.06,25.62,1.05,210,48,117,9,11.16,11.28,11.4,1,10.16
25.62,28.63,23.06,25.62,1.21,210,48,117,9,3.08,3.22,3.37,2,0.0
25.62,28.63,23.06,25.62,1.22,210,48,117,9,5.54,5.81,6.08,1,0.29
25.62,28.63,23.06,25.62,1.36,210,48,117,9,7.08,7.62,8.15,2,10.94
25.62,28.63,23.06,25.62,1.13,210,48,117,9,30.54,31.2,31.86,2,63.57
25.62,28.63,23.06,25.62,1.02,210,48,117,9,6.57,6.59,6.62,3,2.34
25.62,28.63,23.06,25.62,1.48,210,48,117,9,3.59,3.96,4.32,1,0.49
25.62,28.63,23.06,25.62,1.04,210,48,117,9,2.76,2.78,2.81,2,1.56
25.62,28.63,23.06,25.62,1.14,210,48,117,9,6.06,6.25,6.44,2,5.76
25.62,28.63,23.06,25.62,1.28,210,48,117,9,2.3,2.44,2.59,3,0.0
25.62,28.63,23.06,25.62,1.05,210,48,117,9,1.98,2.0,2.03,2,0.1
25.62,28.63,23.06,25.62,1.14,210,48,117,9,1.51,1.56,1.61,3,0.2
25.62,28.63,23.06,25.62,1.29,210,48,117,9,3.34,3.56,3.78,3,3.22
25.62,28.63,23.06,25.62,1.55,210,48,117,9,1.44,1.61,1.78,4,0.1
