CircuitDepth,CircuitNumCXGates,CircuitNumU1Gates,CircuitNumU2Gates,CircuitNumU3Gates,CircuitWidth,StateHammingWeight,StateRealProb,StateUpDnErr25,StateUpDnErr50,StateUpDnErr75,StateUpProb25,StateUpProb50,StateUpProb75,TotalUpDnErr25,TotalUpDnErr50,TotalUpDnErr75,target
13,0,0,12,0,8,0,0,2.783203125,3.22265625,3.8818359375,2.880859375,3.173828125,3.369140625,1.3916015625,1.611328125,1.94091796875,0.0
13,0,0,12,0,8,1,0,2.783203125,3.22265625,3.8818359375,12.255859375,13.427734375,14.306640625,1.3916015625,1.611328125,1.94091796875,7.03125
13,0,0,12,0,8,1,0,2.783203125,3.22265625,3.8818359375,3.955078125,4.58984375,4.9560546875,1.3916015625,1.611328125,1.94091796875,0.0
13,0,0,12,0,8,2,0,2.783203125,3.22265625,3.8818359375,6.9580078125,7.12890625,7.421875,1.3916015625,1.611328125,1.94091796875,1.3671875
13,0,0,12,0,8,1,0,2.783203125,3.22265625,3.8818359375,6.2744140625,6.54296875,6.9580078125,1.3916015625,1.611328125,1.94091796875,1.26953125
13,0,0,12,0,8,2,0,2.783203125,3.22265625,3.8818359375,16.0400390625,17.138671875,17.48046875,1.3916015625,1.611328125,1.94091796875,78.125
13,0,0,12,0,8,2,0,2.783203125,3.22265625,3.8818359375,3.22265625,3.515625,4.1015625,1.3916015625,1.611328125,1.94091796875,0.78125
13,0,0,12,0,8,3,0,2.783203125,3.22265625,3.8818359375,11.81640625,12.20703125,12.5244140625,1.3916015625,1.611328125,1.94091796875,3.61328125
13,0,0,12,0,8,1,0,2.783203125,3.22265625,3.8818359375,6.25,6.73828125,7.6904296875,1.3916015625,1.611328125,1.94091796875,2.63671875
13,0,0,12,0,8,2,0,2.783203125,3.22265625,3.8818359375,4.6630859375,5.224609375,5.6396484375,1.3916015625,1.611328125,1.94091796875,0.09765625
13,0,0,12,0,8,2,0,2.783203125,3.22265625,3.8818359375,3.8330078125,4.00390625,4.9560546875,1.3916015625,1.611328125,1.94091796875,0.0
13,0,0,12,0,8,3,0,2.783203125,3.22265625,3.8818359375,3.1494140625,3.515625,3.7109375,1.3916015625,1.611328125,1.94091796875,0.68359375
13,0,0,12,0,8,2,0,2.783203125,3.22265625,3.8818359375,2.2705078125,2.587890625,3.125,1.3916015625,1.611328125,1.94091796875,0.0
13,0,0,12,0,8,3,0,2.783203125,3.22265625,3.8818359375,2.83203125,3.369140625,3.955078125,1.3916015625,1.611328125,1.94091796875,0.390625
13,0,0,12,0,8,3,0,2.783203125,3.22265625,3.8818359375,3.1982421875,3.564453125,4.1259765625,1.3916015625,1.611328125,1.94091796875,3.3203125
13,0,0,12,0,8,4,0,2.783203125,3.22265625,3.8818359375,2.9541015625,3.076171875,3.2958984375,1.3916015625,1.611328125,1.94091796875,0.68359375
