CircuitDepth,CircuitNumCXGates,CircuitNumU1Gates,CircuitNumU2Gates,CircuitNumU3Gates,CircuitWidth,StateHammingWeight,StateRealProb,StateUpDnErr25,StateUpDnErr50,StateUpDnErr75,StateUpProb25,StateUpProb50,StateUpProb75,TotalUpDnErr25,TotalUpDnErr50,TotalUpDnErr75,target
36,18,0,0,1,10,0,0,5.4931640625,6.15234375,6.5185546875,3.076171875,3.41796875,3.857421875,2.74658203125,3.076171875,3.25927734375,0.1953125
36,18,0,0,1,10,1,0,5.4931640625,6.15234375,6.5185546875,5.029296875,5.2734375,6.103515625,2.74658203125,3.076171875,3.25927734375,37.3046875
36,18,0,0,1,10,1,0,5.4931640625,6.15234375,6.5185546875,1.46484375,1.513671875,1.85546875,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,2,0,5.4931640625,6.15234375,6.5185546875,0.5859375,0.9765625,1.07421875,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,2,0,5.4931640625,6.15234375,6.5185546875,1.4892578125,1.7578125,1.9287109375,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,3,0,5.4931640625,6.15234375,6.5185546875,1.26953125,1.3671875,1.4404296875,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,2,0,5.4931640625,6.15234375,6.5185546875,1.7822265625,2.099609375,2.392578125,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,3,0,5.4931640625,6.15234375,6.5185546875,1.1962890625,1.26953125,1.4404296875,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,3,0,5.4931640625,6.15234375,6.5185546875,0.9521484375,1.3671875,1.5625,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,4,0,5.4931640625,6.15234375,6.5185546875,0.6103515625,0.78125,0.87890625,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,2,0,5.4931640625,6.15234375,6.5185546875,1.0986328125,1.171875,1.318359375,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,3,0,5.4931640625,6.15234375,6.5185546875,1.1962890625,1.416015625,1.708984375,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,3,0,5.4931640625,6.15234375,6.5185546875,1.171875,1.3671875,1.708984375,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,4,0,5.4931640625,6.15234375,6.5185546875,1.4892578125,1.5625,1.8798828125,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,3,0,5.4931640625,6.15234375,6.5185546875,1.3916015625,1.611328125,1.7578125,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,4,0,5.4931640625,6.15234375,6.5185546875,1.4892578125,1.708984375,2.4169921875,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,4,0,5.4931640625,6.15234375,6.5185546875,1.07421875,1.220703125,1.4404296875,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,5,0,5.4931640625,6.15234375,6.5185546875,1.5869140625,1.85546875,1.9287109375,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,1,0,5.4931640625,6.15234375,6.5185546875,6.4453125,7.03125,7.2021484375,2.74658203125,3.076171875,3.25927734375,22.65625
36,18,0,0,1,10,2,0,5.4931640625,6.15234375,6.5185546875,2.9296875,3.076171875,3.3935546875,2.74658203125,3.076171875,3.25927734375,0.29296875
36,18,0,0,1,10,1,0,5.4931640625,6.15234375,6.5185546875,4.052734375,4.4921875,5.078125,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,2,0,5.4931640625,6.15234375,6.5185546875,8.4228515625,8.49609375,8.9599609375,2.74658203125,3.076171875,3.25927734375,19.62890625
36,18,0,0,1,10,2,0,5.4931640625,6.15234375,6.5185546875,3.4423828125,4.00390625,4.541015625,2.74658203125,3.076171875,3.25927734375,18.65234375
36,18,0,0,1,10,3,0,5.4931640625,6.15234375,6.5185546875,2.05078125,2.24609375,2.6123046875,2.74658203125,3.076171875,3.25927734375,1.26953125
36,18,0,0,1,10,1,0,5.4931640625,6.15234375,6.5185546875,6.689453125,7.861328125,8.3984375,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,2,0,5.4931640625,6.15234375,6.5185546875,1.416015625,1.5625,1.7333984375,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,2,0,5.4931640625,6.15234375,6.5185546875,3.662109375,4.052734375,4.7607421875,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,3,0,5.4931640625,6.15234375,6.5185546875,4.4189453125,4.541015625,4.58984375,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,2,0,5.4931640625,6.15234375,6.5185546875,7.1044921875,7.6171875,8.0078125,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,3,0,5.4931640625,6.15234375,6.5185546875,2.8564453125,3.02734375,3.1005859375,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,3,0,5.4931640625,6.15234375,6.5185546875,2.001953125,2.5390625,2.783203125,2.74658203125,3.076171875,3.25927734375,0.0
36,18,0,0,1,10,4,0,5.4931640625,6.15234375,6.5185546875,5.95703125,6.4453125,7.1044921875,2.74658203125,3.076171875,3.25927734375,0.0
