CircuitDepth,CircuitNumCXGates,CircuitNumU1Gates,CircuitNumU2Gates,CircuitNumU3Gates,CircuitWidth,StateHammingWeight,StateRealProb,StateUpDnErr25,StateUpDnErr50,StateUpDnErr75,StateUpProb25,StateUpProb50,StateUpProb75,TotalUpDnErr25,TotalUpDnErr50,TotalUpDnErr75,target
36,18,0,0,1,10,0,0,4.248046875,4.6875,5.2001953125,3.80859375,4.248046875,4.58984375,2.1240234375,2.34375,2.60009765625,0.1953125
36,18,0,0,1,10,1,0,4.248046875,4.6875,5.2001953125,3.2470703125,3.466796875,3.8818359375,2.1240234375,2.34375,2.60009765625,40.91796875
36,18,0,0,1,10,1,0,4.248046875,4.6875,5.2001953125,2.8564453125,3.02734375,3.5400390625,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,2,0,4.248046875,4.6875,5.2001953125,0.68359375,0.68359375,0.9765625,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,2,0,4.248046875,4.6875,5.2001953125,1.416015625,1.806640625,2.099609375,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,3,0,4.248046875,4.6875,5.2001953125,0.5859375,0.732421875,0.927734375,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,2,0,4.248046875,4.6875,5.2001953125,1.025390625,1.513671875,1.66015625,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,3,0,4.248046875,4.6875,5.2001953125,0.3173828125,0.48828125,0.6591796875,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,3,0,4.248046875,4.6875,5.2001953125,0.9033203125,1.07421875,1.3427734375,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,4,0,4.248046875,4.6875,5.2001953125,0.6103515625,0.732421875,0.9765625,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,2,0,4.248046875,4.6875,5.2001953125,1.07421875,1.171875,1.26953125,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,3,0,4.248046875,4.6875,5.2001953125,0.87890625,1.220703125,1.3427734375,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,3,0,4.248046875,4.6875,5.2001953125,1.2939453125,1.5625,2.197265625,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,4,0,4.248046875,4.6875,5.2001953125,2.7099609375,3.125,3.2958984375,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,3,0,4.248046875,4.6875,5.2001953125,0.87890625,1.025390625,1.2451171875,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,4,0,4.248046875,4.6875,5.2001953125,0.9033203125,1.171875,1.416015625,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,4,0,4.248046875,4.6875,5.2001953125,0.87890625,1.123046875,1.318359375,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,5,0,4.248046875,4.6875,5.2001953125,0.9033203125,1.171875,1.2451171875,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,1,0,4.248046875,4.6875,5.2001953125,4.4189453125,4.541015625,4.9072265625,2.1240234375,2.34375,2.60009765625,22.65625
36,18,0,0,1,10,2,0,4.248046875,4.6875,5.2001953125,2.2705078125,2.490234375,2.9052734375,2.1240234375,2.34375,2.60009765625,0.29296875
36,18,0,0,1,10,1,0,4.248046875,4.6875,5.2001953125,3.125,3.369140625,3.8330078125,2.1240234375,2.34375,2.60009765625,0.09765625
36,18,0,0,1,10,2,0,4.248046875,4.6875,5.2001953125,3.1494140625,3.7109375,4.3701171875,2.1240234375,2.34375,2.60009765625,15.13671875
36,18,0,0,1,10,2,0,4.248046875,4.6875,5.2001953125,3.076171875,3.41796875,3.9794921875,2.1240234375,2.34375,2.60009765625,19.43359375
36,18,0,0,1,10,3,0,4.248046875,4.6875,5.2001953125,2.2216796875,2.63671875,3.1005859375,2.1240234375,2.34375,2.60009765625,1.26953125
36,18,0,0,1,10,1,0,4.248046875,4.6875,5.2001953125,12.1826171875,12.98828125,14.0869140625,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,2,0,4.248046875,4.6875,5.2001953125,1.8798828125,2.1484375,2.4658203125,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,2,0,4.248046875,4.6875,5.2001953125,6.103515625,6.787109375,7.4951171875,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,3,0,4.248046875,4.6875,5.2001953125,11.9873046875,12.646484375,13.0615234375,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,2,0,4.248046875,4.6875,5.2001953125,4.7119140625,5.029296875,5.6640625,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,3,0,4.248046875,4.6875,5.2001953125,1.4892578125,1.708984375,1.85546875,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,3,0,4.248046875,4.6875,5.2001953125,3.02734375,3.662109375,3.7841796875,2.1240234375,2.34375,2.60009765625,0.0
36,18,0,0,1,10,4,0,4.248046875,4.6875,5.2001953125,4.5166015625,4.6875,5.2001953125,2.1240234375,2.34375,2.60009765625,0.0
