CircuitDepth,CircuitNumCXGates,CircuitNumU1Gates,CircuitNumU2Gates,CircuitNumU3Gates,CircuitWidth,StateHammingWeight,StateRealProb,StateUpDnErr25,StateUpDnErr50,StateUpDnErr75,StateUpProb25,StateUpProb50,StateUpProb75,TotalUpDnErr25,TotalUpDnErr50,TotalUpDnErr75,target
36,18,0,0,1,10,0,0,6.1767578125,6.591796875,7.080078125,4.6875,4.6875,4.8583984375,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,1,0,6.1767578125,6.591796875,7.080078125,3.3203125,3.466796875,3.61328125,3.08837890625,3.2958984375,3.5400390625,28.61328125
36,18,0,0,1,10,1,0,6.1767578125,6.591796875,7.080078125,1.4892578125,1.7578125,1.953125,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,2,0,6.1767578125,6.591796875,7.080078125,0.6103515625,0.830078125,0.9765625,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,2,0,6.1767578125,6.591796875,7.080078125,0.9765625,1.220703125,1.611328125,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,3,0,6.1767578125,6.591796875,7.080078125,0.830078125,0.9765625,1.0498046875,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,2,0,6.1767578125,6.591796875,7.080078125,0.68359375,0.68359375,0.78125,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,3,0,6.1767578125,6.591796875,7.080078125,0.7080078125,0.927734375,1.07421875,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,3,0,6.1767578125,6.591796875,7.080078125,1.0986328125,1.416015625,1.611328125,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,4,0,6.1767578125,6.591796875,7.080078125,0.5859375,0.78125,0.8544921875,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,2,0,6.1767578125,6.591796875,7.080078125,0.87890625,0.9765625,1.26953125,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,3,0,6.1767578125,6.591796875,7.080078125,0.8544921875,1.07421875,1.26953125,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,3,0,6.1767578125,6.591796875,7.080078125,0.7080078125,0.78125,1.123046875,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,4,0,6.1767578125,6.591796875,7.080078125,1.4892578125,1.7578125,1.85546875,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,3,0,6.1767578125,6.591796875,7.080078125,0.6103515625,0.68359375,0.78125,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,4,0,6.1767578125,6.591796875,7.080078125,0.9033203125,1.26953125,1.46484375,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,4,0,6.1767578125,6.591796875,7.080078125,0.7080078125,0.830078125,0.87890625,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,5,0,6.1767578125,6.591796875,7.080078125,1.0009765625,1.26953125,1.6357421875,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,1,0,6.1767578125,6.591796875,7.080078125,3.7109375,4.1015625,4.5654296875,3.08837890625,3.2958984375,3.5400390625,30.078125
36,18,0,0,1,10,2,0,6.1767578125,6.591796875,7.080078125,2.9296875,3.076171875,3.564453125,3.08837890625,3.2958984375,3.5400390625,1.26953125
36,18,0,0,1,10,1,0,6.1767578125,6.591796875,7.080078125,2.5390625,2.978515625,3.271484375,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,2,0,6.1767578125,6.591796875,7.080078125,4.19921875,4.638671875,5.37109375,3.08837890625,3.2958984375,3.5400390625,28.515625
36,18,0,0,1,10,2,0,6.1767578125,6.591796875,7.080078125,4.9072265625,5.17578125,5.8349609375,3.08837890625,3.2958984375,3.5400390625,10.9375
36,18,0,0,1,10,3,0,6.1767578125,6.591796875,7.080078125,3.0517578125,3.271484375,3.515625,3.08837890625,3.2958984375,3.5400390625,0.5859375
36,18,0,0,1,10,1,0,6.1767578125,6.591796875,7.080078125,11.9873046875,12.548828125,13.1591796875,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,2,0,6.1767578125,6.591796875,7.080078125,2.5390625,2.685546875,3.271484375,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,2,0,6.1767578125,6.591796875,7.080078125,4.58984375,4.58984375,5.2734375,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,3,0,6.1767578125,6.591796875,7.080078125,11.23046875,11.62109375,12.255859375,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,2,0,6.1767578125,6.591796875,7.080078125,4.00390625,4.296875,4.98046875,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,3,0,6.1767578125,6.591796875,7.080078125,1.953125,2.099609375,2.4169921875,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,3,0,6.1767578125,6.591796875,7.080078125,2.6611328125,3.02734375,3.3203125,3.08837890625,3.2958984375,3.5400390625,0.0
36,18,0,0,1,10,4,0,6.1767578125,6.591796875,7.080078125,8.8134765625,9.521484375,9.6435546875,3.08837890625,3.2958984375,3.5400390625,0.0
