CircuitDepth,CircuitNumCXGates,CircuitNumU1Gates,CircuitNumU2Gates,CircuitNumU3Gates,CircuitWidth,StateHammingWeight,StateRealProb,StateUpDnErr25,StateUpDnErr50,StateUpDnErr75,StateUpProb25,StateUpProb50,StateUpProb75,TotalUpDnErr25,TotalUpDnErr50,TotalUpDnErr75,target
10,0,0,0,0,10,0,0,3.90625,4.345703125,4.8583984375,2.5634765625,2.783203125,3.1005859375,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,1,0,3.90625,4.345703125,4.8583984375,1.904296875,2.099609375,2.1484375,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,1,0,3.90625,4.345703125,4.8583984375,6.0546875,6.34765625,6.7138671875,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,2,0,3.90625,4.345703125,4.8583984375,6.2744140625,6.8359375,7.32421875,1.953125,2.1728515625,2.42919921875,10.7421875
10,0,0,0,0,10,2,0,3.90625,4.345703125,4.8583984375,6.494140625,6.884765625,7.3974609375,1.953125,2.1728515625,2.42919921875,8.203125
10,0,0,0,0,10,3,0,3.90625,4.345703125,4.8583984375,2.5634765625,3.125,3.22265625,1.953125,2.1728515625,2.42919921875,9.9609375
10,0,0,0,0,10,2,0,3.90625,4.345703125,4.8583984375,2.5390625,2.63671875,3.173828125,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,3,0,3.90625,4.345703125,4.8583984375,2.490234375,2.783203125,2.9296875,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,3,0,3.90625,4.345703125,4.8583984375,1.8798828125,2.1484375,2.392578125,1.953125,2.1728515625,2.42919921875,12.01171875
10,0,0,0,0,10,4,0,3.90625,4.345703125,4.8583984375,1.66015625,2.05078125,2.294921875,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,2,0,3.90625,4.345703125,4.8583984375,1.26953125,1.3671875,1.5380859375,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,3,0,3.90625,4.345703125,4.8583984375,0.87890625,1.07421875,1.171875,1.953125,2.1728515625,2.42919921875,8.69140625
10,0,0,0,0,10,3,0,3.90625,4.345703125,4.8583984375,0.9033203125,1.025390625,1.2451171875,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,4,0,3.90625,4.345703125,4.8583984375,0.6103515625,0.78125,0.9521484375,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,3,0,3.90625,4.345703125,4.8583984375,1.1962890625,1.318359375,1.4404296875,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,4,0,3.90625,4.345703125,4.8583984375,0.4150390625,0.48828125,0.7568359375,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,4,0,3.90625,4.345703125,4.8583984375,0.68359375,0.78125,0.87890625,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,5,0,3.90625,4.345703125,4.8583984375,0.48828125,0.537109375,0.5859375,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,1,0,3.90625,4.345703125,4.8583984375,4.0771484375,4.443359375,4.736328125,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,2,0,3.90625,4.345703125,4.8583984375,1.8798828125,2.197265625,2.6123046875,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,1,0,3.90625,4.345703125,4.8583984375,4.1259765625,4.443359375,4.5654296875,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,2,0,3.90625,4.345703125,4.8583984375,1.46484375,1.5625,1.6357421875,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,2,0,3.90625,4.345703125,4.8583984375,8.056640625,8.349609375,8.7158203125,1.953125,2.1728515625,2.42919921875,12.109375
10,0,0,0,0,10,3,0,3.90625,4.345703125,4.8583984375,1.5625,1.85546875,2.392578125,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,1,0,3.90625,4.345703125,4.8583984375,5.8837890625,6.4453125,6.93359375,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,2,0,3.90625,4.345703125,4.8583984375,7.275390625,7.6171875,8.4228515625,1.953125,2.1728515625,2.42919921875,10.3515625
10,0,0,0,0,10,2,0,3.90625,4.345703125,4.8583984375,1.6845703125,1.806640625,1.953125,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,3,0,3.90625,4.345703125,4.8583984375,2.0751953125,2.24609375,2.392578125,1.953125,2.1728515625,2.42919921875,0.0
10,0,0,0,0,10,2,0,3.90625,4.345703125,4.8583984375,7.177734375,7.861328125,8.4228515625,1.953125,2.1728515625,2.42919921875,8.59375
10,0,0,0,0,10,3,0,3.90625,4.345703125,4.8583984375,1.9775390625,2.197265625,2.5390625,1.953125,2.1728515625,2.42919921875,8.88671875
10,0,0,0,0,10,3,0,3.90625,4.345703125,4.8583984375,2.3681640625,2.587890625,3.1494140625,1.953125,2.1728515625,2.42919921875,10.44921875
10,0,0,0,0,10,4,0,3.90625,4.345703125,4.8583984375,0.78125,0.927734375,0.9765625,1.953125,2.1728515625,2.42919921875,0.0
