CircuitDepth,CircuitNumCXGates,CircuitNumU1Gates,CircuitNumU2Gates,CircuitNumU3Gates,CircuitWidth,StateHammingWeight,StateRealProb,StateUpDnErr25,StateUpDnErr50,StateUpDnErr75,StateUpProb25,StateUpProb50,StateUpProb75,TotalUpDnErr25,TotalUpDnErr50,TotalUpDnErr75
13,0,0,12,0,8,3,0.48828125,66.6748046875,67.431640625,68.408203125,3.662109375,4.150390625,4.58984375,33.33740234375,33.7158203125,34.2041015625
13,0,0,12,0,8,1,1.171875,67.0166015625,68.310546875,69.677734375,7.275390625,8.251953125,8.740234375,33.50830078125,34.1552734375,34.8388671875
13,0,0,12,0,8,3,2.63671875,67.3095703125,68.06640625,68.84765625,4.0283203125,4.4921875,4.7607421875,33.65478515625,34.033203125,34.423828125
13,0,0,12,0,8,0,0.0,66.6259765625,68.359375,69.0673828125,3.759765625,4.541015625,4.9072265625,33.31298828125,34.1796875,34.53369140625
13,0,0,12,0,8,2,74.609375,66.89453125,67.236328125,68.6767578125,35.0830078125,36.474609375,37.3291015625,33.447265625,33.6181640625,34.33837890625
13,0,0,12,0,8,2,1.85546875,67.3095703125,67.919921875,68.8232421875,2.978515625,3.369140625,3.7841796875,33.65478515625,33.9599609375,34.41162109375
13,0,0,12,0,8,2,0.87890625,66.650390625,67.529296875,68.45703125,2.7587890625,3.02734375,3.515625,33.3251953125,33.7646484375,34.228515625
13,0,0,12,0,8,2,0.0,69.0673828125,69.384765625,69.8974609375,2.9296875,2.978515625,3.1982421875,34.53369140625,34.6923828125,34.94873046875
13,0,0,12,0,8,1,9.9609375,67.919921875,68.798828125,69.7021484375,8.2763671875,8.544921875,9.27734375,33.9599609375,34.3994140625,34.85107421875
13,0,0,12,0,8,4,0.68359375,67.3095703125,68.310546875,69.384765625,2.587890625,2.83203125,2.9296875,33.65478515625,34.1552734375,34.6923828125
13,0,0,12,0,8,2,0.0,66.8701171875,67.431640625,68.0419921875,2.3681640625,2.490234375,3.1494140625,33.43505859375,33.7158203125,34.02099609375
13,0,0,12,0,8,2,0.1953125,67.96875,68.896484375,69.43359375,2.8076171875,3.61328125,3.7109375,33.984375,34.4482421875,34.716796875
13,0,0,12,0,8,1,2.05078125,67.578125,68.603515625,69.921875,4.2724609375,4.638671875,5.2734375,33.7890625,34.3017578125,34.9609375
13,0,0,12,0,8,3,0.87890625,67.8466796875,68.896484375,69.1162109375,3.0517578125,3.466796875,3.7841796875,33.92333984375,34.4482421875,34.55810546875
13,0,0,12,0,8,1,0.0,66.943359375,67.28515625,68.45703125,2.197265625,2.685546875,2.8076171875,33.4716796875,33.642578125,34.228515625
13,0,0,12,0,8,3,4.58984375,67.7978515625,68.45703125,68.7255859375,3.9306640625,4.19921875,4.5654296875,33.89892578125,34.228515625,34.36279296875
