CircuitDepth,CircuitNumCXGates,CircuitNumU1Gates,CircuitNumU2Gates,CircuitNumU3Gates,CircuitWidth,StateHammingWeight,StateRealProb,StateUpDnErr25,StateUpDnErr50,StateUpDnErr75,StateUpProb25,StateUpProb50,StateUpProb75,TotalUpDnErr25,TotalUpDnErr50,TotalUpDnErr75
13,0,0,12,0,8,2,74.609375,57.373046875,58.3984375,59.8876953125,44.287109375,45.263671875,46.240234375,28.6865234375,29.19921875,29.94384765625
13,0,0,12,0,8,3,4.58984375,58.056640625,58.7890625,59.423828125,4.345703125,4.638671875,5.029296875,29.0283203125,29.39453125,29.7119140625
13,0,0,12,0,8,2,0.87890625,57.0068359375,57.666015625,58.544921875,2.734375,3.3203125,3.90625,28.50341796875,28.8330078125,29.2724609375
13,0,0,12,0,8,0,0.0,57.470703125,58.349609375,59.1064453125,1.3671875,1.513671875,1.6357421875,28.7353515625,29.1748046875,29.55322265625
13,0,0,12,0,8,1,2.05078125,58.154296875,58.88671875,59.5947265625,4.443359375,5.224609375,5.7373046875,29.0771484375,29.443359375,29.79736328125
13,0,0,12,0,8,1,9.9609375,57.8125,58.49609375,59.326171875,6.93359375,7.12890625,7.51953125,28.90625,29.248046875,29.6630859375
13,0,0,12,0,8,3,2.63671875,57.8857421875,58.59375,59.08203125,5.37109375,5.908203125,6.25,28.94287109375,29.296875,29.541015625
13,0,0,12,0,8,2,0.0,55.224609375,57.03125,60.3515625,1.7822265625,2.05078125,2.392578125,27.6123046875,28.515625,30.17578125
13,0,0,12,0,8,2,0.1953125,56.0302734375,57.666015625,59.0087890625,2.6123046875,2.880859375,3.3203125,28.01513671875,28.8330078125,29.50439453125
13,0,0,12,0,8,3,0.48828125,58.251953125,58.837890625,60.693359375,2.9541015625,3.41796875,3.5888671875,29.1259765625,29.4189453125,30.3466796875
13,0,0,12,0,8,3,0.87890625,57.421875,58.447265625,59.8388671875,4.0283203125,4.150390625,4.6875,28.7109375,29.2236328125,29.91943359375
13,0,0,12,0,8,2,0.0,57.275390625,58.0078125,58.8623046875,2.8564453125,3.3203125,3.3203125,28.6376953125,29.00390625,29.43115234375
13,0,0,12,0,8,4,0.68359375,56.494140625,57.51953125,58.1787109375,1.611328125,1.85546875,2.1240234375,28.2470703125,28.759765625,29.08935546875
13,0,0,12,0,8,1,0.0,56.9580078125,58.544921875,59.5458984375,1.2939453125,1.708984375,2.1484375,28.47900390625,29.2724609375,29.77294921875
13,0,0,12,0,8,1,1.171875,57.5439453125,57.763671875,57.9833984375,4.1259765625,4.345703125,4.833984375,28.77197265625,28.8818359375,28.99169921875
13,0,0,12,0,8,2,1.85546875,57.51953125,57.91015625,58.2763671875,2.490234375,2.83203125,3.125,28.759765625,28.955078125,29.13818359375
