CircuitDepth,CircuitNumCXGates,CircuitNumU1Gates,CircuitNumU2Gates,CircuitNumU3Gates,CircuitWidth,StateHammingWeight,StateRealProb,StateUpDnErr25,StateUpDnErr50,StateUpDnErr75,StateUpProb25,StateUpProb50,StateUpProb75,TotalUpDnErr25,TotalUpDnErr50,TotalUpDnErr75
13,0,0,12,0,8,3,3.3203125,43.84765625,44.091796875,45.21484375,4.296875,4.39453125,4.7607421875,21.923828125,22.0458984375,22.607421875
13,0,0,12,0,8,2,76.5625,43.6767578125,44.970703125,45.2880859375,48.6083984375,49.70703125,50.390625,21.83837890625,22.4853515625,22.64404296875
13,0,0,12,0,8,0,0.0,43.310546875,45.21484375,46.337890625,1.4892578125,1.7578125,2.1240234375,21.6552734375,22.607421875,23.1689453125
13,0,0,12,0,8,1,0.0,43.408203125,43.798828125,44.4580078125,1.2939453125,1.3671875,1.6357421875,21.7041015625,21.8994140625,22.22900390625
13,0,0,12,0,8,2,0.29296875,42.9443359375,43.798828125,44.7509765625,1.5869140625,1.85546875,1.953125,21.47216796875,21.8994140625,22.37548828125
13,0,0,12,0,8,1,7.03125,43.4326171875,44.091796875,44.8974609375,9.521484375,9.9609375,10.498046875,21.71630859375,22.0458984375,22.44873046875
13,0,0,12,0,8,3,0.390625,42.7734375,44.43359375,45.21484375,3.41796875,3.564453125,4.00390625,21.38671875,22.216796875,22.607421875
13,0,0,12,0,8,4,0.68359375,42.8466796875,43.84765625,44.140625,1.3427734375,1.611328125,1.8310546875,21.42333984375,21.923828125,22.0703125
13,0,0,12,0,8,3,3.515625,43.7744140625,44.287109375,45.01953125,5.3955078125,5.712890625,6.005859375,21.88720703125,22.1435546875,22.509765625
13,0,0,12,0,8,2,0.1953125,43.9208984375,45.458984375,46.1181640625,1.953125,2.24609375,2.5146484375,21.96044921875,22.7294921875,23.05908203125
13,0,0,12,0,8,1,1.3671875,43.115234375,43.9453125,44.7265625,5.4931640625,5.712890625,6.4208984375,21.5576171875,21.97265625,22.36328125
13,0,0,12,0,8,2,1.3671875,43.8720703125,44.04296875,44.53125,1.85546875,2.099609375,2.1484375,21.93603515625,22.021484375,22.265625
13,0,0,12,0,8,1,3.90625,43.310546875,43.9453125,44.7021484375,3.076171875,3.466796875,3.8818359375,21.6552734375,21.97265625,22.35107421875
13,0,0,12,0,8,2,0.0,43.896484375,45.1171875,45.5810546875,1.4892578125,1.5625,1.7578125,21.9482421875,22.55859375,22.79052734375
13,0,0,12,0,8,3,0.68359375,44.3359375,44.580078125,45.263671875,1.904296875,2.099609375,2.2216796875,22.16796875,22.2900390625,22.6318359375
13,0,0,12,0,8,2,0.68359375,43.0908203125,43.603515625,43.84765625,2.6611328125,2.783203125,3.0029296875,21.54541015625,21.8017578125,21.923828125
