CircuitDepth,CircuitNumCXGates,CircuitNumU1Gates,CircuitNumU2Gates,CircuitNumU3Gates,CircuitWidth,StateHammingWeight,StateRealProb,StateUpDnErr25,StateUpDnErr50,StateUpDnErr75,StateUpProb25,StateUpProb50,StateUpProb75,TotalUpDnErr25,TotalUpDnErr50,TotalUpDnErr75
36,18,0,0,1,10,2,18.65234375,74.2431640625,75.09765625,75.6591796875,11.7431640625,12.158203125,13.1591796875,37.12158203125,37.548828125,37.82958984375
36,18,0,0,1,10,1,37.3046875,73.7548828125,74.072265625,75.7080078125,24.12109375,24.4140625,25.2197265625,36.87744140625,37.0361328125,37.85400390625
36,18,0,0,1,10,1,22.65625,74.51171875,74.951171875,75.146484375,13.4033203125,13.57421875,14.0625,37.255859375,37.4755859375,37.5732421875
36,18,0,0,1,10,2,0.0,73.92578125,74.072265625,74.3408203125,1.5625,1.5625,1.708984375,36.962890625,37.0361328125,37.17041015625
36,18,0,0,1,10,2,0.29296875,74.21875,74.560546875,75.48828125,3.0517578125,3.173828125,3.4912109375,37.109375,37.2802734375,37.744140625
36,18,0,0,1,10,2,19.62890625,73.193359375,73.779296875,75.146484375,12.01171875,12.98828125,14.208984375,36.5966796875,36.8896484375,37.5732421875
36,18,0,0,1,10,0,0.1953125,74.70703125,74.951171875,75.7080078125,3.3203125,3.61328125,3.8818359375,37.353515625,37.4755859375,37.85400390625
36,18,0,0,1,10,3,1.26953125,73.2177734375,74.8046875,75.5615234375,2.5634765625,2.9296875,3.1005859375,36.60888671875,37.40234375,37.78076171875
36,18,0,0,1,10,1,0.0,73.3154296875,73.92578125,74.3408203125,2.880859375,3.076171875,3.3935546875,36.65771484375,36.962890625,37.17041015625
36,18,0,0,1,10,2,0.0,72.412109375,73.486328125,74.560546875,2.978515625,3.173828125,3.3203125,36.2060546875,36.7431640625,37.2802734375
36,18,0,0,1,10,2,0.0,74.12109375,74.8046875,75.537109375,2.5634765625,2.880859375,3.076171875,37.060546875,37.40234375,37.7685546875
36,18,0,0,1,10,1,0.0,73.3642578125,73.6328125,74.462890625,1.5869140625,1.66015625,1.9775390625,36.68212890625,36.81640625,37.2314453125
36,18,0,0,1,10,4,0.0,73.92578125,75.0,75.7080078125,1.66015625,1.66015625,1.8310546875,36.962890625,37.5,37.85400390625
36,18,0,0,1,10,4,0.0,73.8525390625,74.21875,74.5849609375,0.09765625,0.146484375,0.1953125,36.92626953125,37.109375,37.29248046875
36,18,0,0,1,10,3,0.0,73.0224609375,73.876953125,75.1708984375,1.953125,2.392578125,2.5146484375,36.51123046875,36.9384765625,37.58544921875
36,18,0,0,1,10,3,0.0,73.6572265625,74.853515625,76.5625,1.611328125,1.7578125,2.197265625,36.82861328125,37.4267578125,38.28125
36,18,0,0,1,10,3,0.0,73.583984375,74.267578125,74.8046875,2.392578125,2.685546875,2.9052734375,36.7919921875,37.1337890625,37.40234375
36,18,0,0,1,10,3,0.0,74.0478515625,74.365234375,75.9033203125,0.4150390625,0.48828125,0.6591796875,37.02392578125,37.1826171875,37.95166015625
36,18,0,0,1,10,3,0.0,74.21875,74.951171875,75.3662109375,0.1953125,0.244140625,0.4638671875,37.109375,37.4755859375,37.68310546875
36,18,0,0,1,10,2,0.0,73.1689453125,74.365234375,75.146484375,0.4150390625,0.5859375,0.5859375,36.58447265625,37.1826171875,37.5732421875
36,18,0,0,1,10,1,0.0,73.3154296875,74.072265625,74.365234375,0.0244140625,0.146484375,0.1953125,36.65771484375,37.0361328125,37.1826171875
36,18,0,0,1,10,2,0.0,73.388671875,74.0234375,75.341796875,0.0244140625,0.146484375,0.1953125,36.6943359375,37.01171875,37.6708984375
36,18,0,0,1,10,3,0.0,73.3154296875,74.0234375,75.29296875,0.09765625,0.146484375,0.1953125,36.65771484375,37.01171875,37.646484375
36,18,0,0,1,10,4,0.0,74.31640625,74.560546875,75.2197265625,0.1220703125,0.1953125,0.2685546875,37.158203125,37.2802734375,37.60986328125
36,18,0,0,1,10,3,0.0,74.12109375,74.70703125,75.5615234375,0.3173828125,0.439453125,0.5615234375,37.060546875,37.353515625,37.78076171875
36,18,0,0,1,10,3,0.0,73.681640625,75.0,75.5126953125,0.09765625,0.09765625,0.1953125,36.8408203125,37.5,37.75634765625
36,18,0,0,1,10,4,0.0,73.1201171875,74.12109375,74.755859375,0.0,0.0,0.2685546875,36.56005859375,37.060546875,37.3779296875
36,18,0,0,1,10,2,0.0,73.6572265625,74.31640625,75.78125,0.48828125,0.537109375,0.6591796875,36.82861328125,37.158203125,37.890625
36,18,0,0,1,10,4,0.0,73.974609375,74.169921875,74.4384765625,0.1220703125,0.1953125,0.29296875,36.9873046875,37.0849609375,37.21923828125
