CircuitDepth,CircuitNumCXGates,CircuitNumU1Gates,CircuitNumU2Gates,CircuitNumU3Gates,CircuitWidth,StateHammingWeight,StateRealProb,StateUpDnErr25,StateUpDnErr50,StateUpDnErr75,StateUpProb25,StateUpProb50,StateUpProb75,TotalUpDnErr25,TotalUpDnErr50,TotalUpDnErr75
36,18,0,0,1,10,2,19.62890625,85.595703125,86.23046875,86.8408203125,10.5712890625,10.791015625,11.2060546875,42.7978515625,43.115234375,43.42041015625
36,18,0,0,1,10,2,18.359375,85.0341796875,85.44921875,85.64453125,9.27734375,9.716796875,10.3271484375,42.51708984375,42.724609375,42.822265625
36,18,0,0,1,10,4,0.0,85.7177734375,86.328125,86.4990234375,1.7822265625,2.1484375,2.44140625,42.85888671875,43.1640625,43.24951171875
36,18,0,0,1,10,1,22.65625,85.5712890625,86.328125,86.5234375,10.9130859375,11.62109375,11.9873046875,42.78564453125,43.1640625,43.26171875
36,18,0,0,1,10,1,37.20703125,84.86328125,85.7421875,86.03515625,17.2119140625,18.1640625,19.1162109375,42.431640625,42.87109375,43.017578125
36,18,0,0,1,10,3,0.0,84.8876953125,85.3515625,85.7421875,0.3173828125,0.537109375,0.5859375,42.44384765625,42.67578125,42.87109375
36,18,0,0,1,10,2,0.0,85.1318359375,85.986328125,86.5234375,1.5869140625,2.099609375,2.24609375,42.56591796875,42.9931640625,43.26171875
36,18,0,0,1,10,5,0.0,84.912109375,85.64453125,86.5966796875,0.0,0.146484375,0.29296875,42.4560546875,42.822265625,43.29833984375
36,18,0,0,1,10,1,0.0,85.1806640625,85.302734375,85.9130859375,2.34375,2.5390625,2.9541015625,42.59033203125,42.6513671875,42.95654296875
36,18,0,0,1,10,2,0.0,84.375,85.83984375,86.3037109375,0.7080078125,0.87890625,1.07421875,42.1875,42.919921875,43.15185546875
36,18,0,0,1,10,1,0.09765625,85.546875,85.986328125,86.3037109375,2.9541015625,3.125,3.3203125,42.7734375,42.9931640625,43.15185546875
36,18,0,0,1,10,0,0.1953125,84.912109375,85.25390625,85.44921875,4.2236328125,4.345703125,4.7119140625,42.4560546875,42.626953125,42.724609375
36,18,0,0,1,10,2,0.5859375,84.619140625,85.400390625,86.9140625,2.7587890625,3.22265625,3.3203125,42.3095703125,42.7001953125,43.45703125
36,18,0,0,1,10,2,0.0,85.693359375,85.986328125,86.279296875,4.443359375,4.78515625,5.908203125,42.8466796875,42.9931640625,43.1396484375
36,18,0,0,1,10,3,0.0,84.4970703125,85.400390625,86.0595703125,2.34375,2.685546875,3.173828125,42.24853515625,42.7001953125,43.02978515625
36,18,0,0,1,10,2,0.0,84.1552734375,85.25390625,86.474609375,0.78125,1.220703125,1.26953125,42.07763671875,42.626953125,43.2373046875
36,18,0,0,1,10,2,0.0,85.546875,86.1328125,86.7431640625,5.46875,5.46875,5.7861328125,42.7734375,43.06640625,43.37158203125
36,18,0,0,1,10,3,0.0,85.1318359375,85.546875,86.0595703125,3.6376953125,4.248046875,4.638671875,42.56591796875,42.7734375,43.02978515625
36,18,0,0,1,10,3,1.26953125,85.0830078125,85.7421875,86.376953125,2.9541015625,3.61328125,3.857421875,42.54150390625,42.87109375,43.1884765625
36,18,0,0,1,10,4,0.0,84.08203125,85.888671875,86.4990234375,0.390625,0.48828125,0.48828125,42.041015625,42.9443359375,43.24951171875
36,18,0,0,1,10,3,0.0,85.3271484375,85.888671875,87.0361328125,4.1259765625,4.736328125,5.37109375,42.66357421875,42.9443359375,43.51806640625
36,18,0,0,1,10,3,0.0,85.205078125,85.7421875,86.376953125,0.8056640625,0.927734375,1.1962890625,42.6025390625,42.87109375,43.1884765625
36,18,0,0,1,10,4,0.0,86.03515625,86.376953125,86.4990234375,0.1953125,0.29296875,0.439453125,43.017578125,43.1884765625,43.24951171875
36,18,0,0,1,10,3,0.0,85.400390625,85.888671875,86.03515625,0.29296875,0.29296875,0.3662109375,42.7001953125,42.9443359375,43.017578125
36,18,0,0,1,10,4,0.0,83.935546875,85.302734375,86.083984375,0.2197265625,0.29296875,0.3662109375,41.9677734375,42.6513671875,43.0419921875
36,18,0,0,1,10,3,0.0,85.107421875,86.376953125,86.7919921875,0.48828125,0.537109375,0.732421875,42.5537109375,43.1884765625,43.39599609375
36,18,0,0,1,10,3,0.0,85.2294921875,86.23046875,86.7431640625,0.3173828125,0.390625,0.4638671875,42.61474609375,43.115234375,43.37158203125
36,18,0,0,1,10,2,0.0,85.498046875,86.083984375,86.4013671875,0.2197265625,0.29296875,0.29296875,42.7490234375,43.0419921875,43.20068359375
36,18,0,0,1,10,1,0.0,84.4482421875,85.83984375,86.865234375,0.2197265625,0.29296875,0.4638671875,42.22412109375,42.919921875,43.4326171875
36,18,0,0,1,10,2,0.0,85.2294921875,85.595703125,86.6455078125,0.09765625,0.244140625,0.5126953125,42.61474609375,42.7978515625,43.32275390625
36,18,0,0,1,10,4,0.0,84.912109375,85.302734375,85.7421875,0.29296875,0.341796875,0.4638671875,42.4560546875,42.6513671875,42.87109375
