CircuitDepth,CircuitNumCXGates,CircuitNumU1Gates,CircuitNumU2Gates,CircuitNumU3Gates,CircuitWidth,StateHammingWeight,StateRealProb,StateUpDnErr25,StateUpDnErr50,StateUpDnErr75,StateUpProb25,StateUpProb50,StateUpProb75,TotalUpDnErr25,TotalUpDnErr50,TotalUpDnErr75
36,18,0,0,1,10,1,0.0,80.029296875,80.56640625,81.298828125,0.5615234375,0.927734375,1.1474609375,40.0146484375,40.283203125,40.6494140625
36,18,0,0,1,10,1,31.8359375,78.466796875,79.736328125,81.0546875,17.236328125,18.408203125,19.04296875,39.2333984375,39.8681640625,40.52734375
36,18,0,0,1,10,3,0.0,78.90625,80.126953125,81.15234375,1.8310546875,2.24609375,2.3193359375,39.453125,40.0634765625,40.576171875
36,18,0,0,1,10,2,24.21875,80.2001953125,80.419921875,80.7861328125,14.35546875,14.453125,14.8193359375,40.10009765625,40.2099609375,40.39306640625
36,18,0,0,1,10,1,28.41796875,80.078125,80.95703125,81.3720703125,12.5244140625,14.208984375,15.1123046875,40.0390625,40.478515625,40.68603515625
36,18,0,0,1,10,2,0.0,79.7119140625,80.078125,80.859375,1.5869140625,1.708984375,1.85546875,39.85595703125,40.0390625,40.4296875
36,18,0,0,1,10,2,0.9765625,79.3212890625,80.029296875,80.7861328125,2.24609375,2.587890625,3.125,39.66064453125,40.0146484375,40.39306640625
36,18,0,0,1,10,1,0.1953125,79.931640625,81.005859375,81.8603515625,4.443359375,4.931640625,5.322265625,39.9658203125,40.5029296875,40.93017578125
36,18,0,0,1,10,3,0.0,79.638671875,80.859375,81.689453125,0.6103515625,0.78125,0.87890625,39.8193359375,40.4296875,40.8447265625
36,18,0,0,1,10,2,0.0,79.78515625,80.126953125,81.3720703125,1.7578125,1.953125,2.05078125,39.892578125,40.0634765625,40.68603515625
36,18,0,0,1,10,2,0.0,78.90625,80.029296875,80.5419921875,3.0517578125,3.466796875,3.662109375,39.453125,40.0146484375,40.27099609375
36,18,0,0,1,10,0,0.0,79.296875,79.833984375,81.15234375,5.712890625,6.15234375,6.4208984375,39.6484375,39.9169921875,40.576171875
36,18,0,0,1,10,2,0.0,79.296875,79.78515625,80.419921875,1.123046875,1.416015625,1.5380859375,39.6484375,39.892578125,40.2099609375
36,18,0,0,1,10,3,0.0,78.564453125,80.517578125,81.6162109375,1.123046875,1.3671875,1.7333984375,39.2822265625,40.2587890625,40.80810546875
36,18,0,0,1,10,1,0.0,80.6640625,81.689453125,82.32421875,1.2939453125,1.513671875,2.1728515625,40.33203125,40.8447265625,41.162109375
36,18,0,0,1,10,2,0.0,79.3212890625,80.224609375,81.0791015625,0.4150390625,0.48828125,0.6591796875,39.66064453125,40.1123046875,40.53955078125
36,18,0,0,1,10,2,13.76953125,79.541015625,80.37109375,81.34765625,7.6171875,7.71484375,8.349609375,39.7705078125,40.185546875,40.673828125
36,18,0,0,1,10,3,0.0,78.4912109375,80.029296875,80.517578125,1.220703125,1.611328125,1.9287109375,39.24560546875,40.0146484375,40.2587890625
36,18,0,0,1,10,3,0.0,80.078125,80.517578125,81.396484375,0.439453125,0.732421875,0.87890625,40.0390625,40.2587890625,40.6982421875
36,18,0,0,1,10,3,0.0,79.6142578125,80.6640625,80.810546875,1.953125,2.1484375,2.3193359375,39.80712890625,40.33203125,40.4052734375
36,18,0,0,1,10,4,0.0,78.90625,79.6875,80.6884765625,0.732421875,1.26953125,1.46484375,39.453125,39.84375,40.34423828125
36,18,0,0,1,10,3,0.5859375,79.6630859375,80.224609375,80.7373046875,2.2705078125,2.5390625,2.5390625,39.83154296875,40.1123046875,40.36865234375
36,18,0,0,1,10,2,0.0,79.58984375,79.736328125,80.7861328125,2.1484375,2.5390625,2.978515625,39.794921875,39.8681640625,40.39306640625
36,18,0,0,1,10,4,0.0,79.638671875,80.95703125,81.34765625,0.1220703125,0.29296875,0.4638671875,39.8193359375,40.478515625,40.673828125
36,18,0,0,1,10,3,0.0,80.37109375,80.859375,81.689453125,1.1962890625,1.318359375,1.513671875,40.185546875,40.4296875,40.8447265625
36,18,0,0,1,10,3,0.0,79.8095703125,80.419921875,81.15234375,0.29296875,0.390625,0.390625,39.90478515625,40.2099609375,40.576171875
36,18,0,0,1,10,3,0.0,80.3466796875,81.34765625,82.3486328125,0.5859375,0.68359375,0.78125,40.17333984375,40.673828125,41.17431640625
36,18,0,0,1,10,4,0.0,79.5166015625,80.37109375,81.1767578125,0.390625,0.48828125,0.5615234375,39.75830078125,40.185546875,40.58837890625
36,18,0,0,1,10,2,0.0,79.0283203125,79.736328125,81.0546875,0.48828125,0.537109375,0.68359375,39.51416015625,39.8681640625,40.52734375
36,18,0,0,1,10,4,0.0,79.8583984375,80.517578125,81.396484375,0.48828125,0.5859375,0.7568359375,39.92919921875,40.2587890625,40.6982421875
36,18,0,0,1,10,5,0.0,79.7119140625,80.6640625,81.396484375,0.1953125,0.29296875,0.390625,39.85595703125,40.33203125,40.6982421875
