Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
16.95,14.57,16.8,17.39,1.01,3,9,13,11,45.29,45.36,45.43,4,48.63
18.1,15.72,15.56,17.82,1.12,3,9,13,11,46.29,46.97,47.66,0,51.37
15.88,17.82,16.95,17.68,2.01,3,9,13,11,0.37,0.44,0.51,2,0.0
16.95,16.95,16.35,17.25,2.26,3,9,13,11,0.51,0.64,0.76,2,0.0
17.53,16.5,19.05,13.13,1.2,3,9,13,11,0.51,0.54,0.56,3,0.0
16.35,17.53,15.88,18.38,1.2,3,9,13,11,0.51,0.54,0.56,1,0.0
15.07,16.65,17.39,14.74,1.18,3,9,13,11,1.12,1.17,1.22,3,0.0
16.04,15.88,15.24,14.04,2.01,3,9,13,11,0.49,0.59,0.68,1,0.0
14.74,16.19,16.35,14.04,0.0,3,9,13,11,0.0,0.0,0.0,2,0.0
15.56,14.57,15.72,15.88,1.0,3,9,13,11,1.07,1.07,1.07,3,0.0
14.74,15.24,14.74,15.88,1.0,3,9,13,11,0.59,0.59,0.59,1,0.0
15.4,16.5,14.4,14.4,1.29,3,9,13,11,0.73,0.78,0.83,1,0.0
16.95,15.88,16.35,15.4,1.33,3,9,13,11,0.32,0.34,0.37,3,0.0
29.64,12.35,19.32,18.1,1.0,114,21,83,10,40.72,40.72,40.72,1,52.05
35.51,15.4,18.51,19.96,1.01,114,21,83,10,27.88,27.93,27.98,1,33.4
31.75,14.04,17.68,17.39,1.12,114,21,83,10,6.13,6.3,6.47,0,1.27
35.12,16.5,19.32,19.96,1.05,114,21,83,10,8.59,8.69,8.79,1,8.2
36.22,11.73,18.51,18.38,1.32,114,21,83,10,3.05,3.27,3.49,3,0.59
34.24,15.24,17.1,18.65,1.07,114,21,83,10,4.76,4.83,4.91,2,1.95
33.83,14.4,19.96,17.39,1.16,114,21,83,10,3.86,4.0,4.15,2,2.54
34.88,14.04,18.65,17.1,1.06,114,21,83,10,3.27,3.32,3.37,2,0.0
43.51,19.84,20.47,22.03,1.4,63,33,62,13,0.54,0.59,0.64,3,0.0
42.18,26.12,18.1,25.21,1.18,63,33,62,13,25.9,26.71,27.52,2,41.31
43.79,24.69,18.92,20.72,1.67,63,33,62,13,0.68,0.78,0.88,1,0.0
41.62,19.32,25.1,24.15,1.0,63,33,62,13,5.08,5.08,5.08,4,1.56
37.59,26.42,18.24,24.69,1.0,63,33,62,13,0.1,0.1,0.1,2,0.0
42.81,20.84,18.92,16.95,1.4,63,33,62,13,2.78,3.03,3.27,6,0.0
38.05,25.0,23.06,21.8,1.5,63,33,62,13,0.22,0.24,0.27,1,0.0
42.6,19.84,23.17,21.44,1.05,63,33,62,13,4.25,4.3,4.35,4,1.37
41.48,27.88,25.31,18.24,1.09,63,33,62,13,22.17,22.56,22.95,2,27.93
42.6,25.82,26.22,23.17,1.32,63,33,62,13,3.05,3.27,3.49,4,0.0
41.26,26.22,20.84,21.8,1.1,63,33,62,13,18.43,18.8,19.16,2,25.49
41.26,17.96,19.58,22.95,1.0,63,33,62,13,0.19,0.19,0.19,5,0.0
43.44,18.51,25.72,21.56,1.13,63,33,62,13,7.74,7.96,8.18,0,2.34
41.9,25.41,18.51,19.71,1.5,63,33,62,13,0.22,0.24,0.27,3,0.0
41.97,19.96,19.05,20.72,1.5,63,33,62,13,0.44,0.49,0.54,1,0.0
40.11,18.79,17.82,23.28,1.2,63,33,62,13,0.51,0.54,0.56,1,0.0
40.98,26.42,18.1,18.51,0.0,63,33,62,13,0.0,0.0,0.0,2,0.0
44.81,17.39,24.69,23.94,0.0,63,33,62,13,0.0,0.0,0.0,2,0.0
42.11,18.79,25.52,19.05,1.0,63,33,62,13,0.1,0.1,0.1,5,0.0
43.3,19.19,18.65,25.41,1.76,63,33,62,13,0.46,0.54,0.61,3,0.0
41.76,19.71,22.95,19.32,1.33,63,33,62,13,0.32,0.34,0.37,3,0.0
41.69,24.26,19.96,18.92,3.01,63,33,62,13,0.15,0.19,0.24,3,0.0
42.04,26.52,22.15,23.5,2.0,63,33,62,13,0.24,0.29,0.34,3,0.0
42.6,29.28,23.28,19.19,1.0,63,33,62,13,0.39,0.39,0.39,3,0.0
41.76,19.05,24.37,19.58,2.0,63,33,62,13,0.12,0.15,0.17,1,0.0
44.68,25.41,19.32,17.96,1.6,63,33,62,13,0.56,0.64,0.71,3,0.0
43.65,27.59,23.06,22.95,2.51,63,33,62,13,0.27,0.34,0.42,3,0.0
41.05,24.26,19.19,18.38,2.01,63,33,62,13,0.37,0.44,0.51,3,0.0
38.57,21.2,25.31,19.71,3.01,63,33,62,13,0.15,0.19,0.24,1,0.0
41.55,25.21,23.83,20.22,1.4,63,33,62,13,0.54,0.59,0.64,3,0.0
42.39,24.69,25.52,22.49,1.0,63,33,62,13,0.1,0.1,0.1,5,0.0
59.71,23.61,28.16,30.44,1.19,90,69,97,15,9.16,9.52,9.89,4,16.7
59.84,23.5,24.05,28.35,1.13,90,69,97,15,10.06,10.35,10.64,4,15.62
58.19,24.69,27.01,27.21,1.0,90,69,97,15,0.49,0.49,0.49,5,0.0
57.87,28.63,20.59,28.91,1.58,90,69,97,15,3.22,3.61,4.0,6,0.88
57.81,21.44,26.32,24.15,1.17,90,69,97,15,9.03,9.38,9.72,4,16.5
58.76,23.17,25.0,29.18,1.05,90,69,97,15,3.96,4.0,4.05,8,1.37
55.9,23.72,26.12,29.09,1.48,90,69,97,15,1.86,2.05,2.25,2,0.98
60.09,22.83,27.88,24.37,1.5,90,69,97,15,4.37,4.83,5.3,6,1.27
62.0,21.56,29.0,26.42,2.0,90,69,97,15,0.12,0.15,0.17,5,0.0
59.46,22.83,24.15,28.72,1.0,90,69,97,15,0.29,0.29,0.29,5,0.0
56.73,23.39,25.92,29.64,0.0,90,69,97,15,0.0,0.0,0.0,1,0.0
54.69,28.63,28.63,27.4,1.15,90,69,97,15,9.79,10.11,10.42,4,13.87
59.65,21.2,28.16,24.9,1.2,90,69,97,15,9.79,10.2,10.62,4,12.89
61.24,28.72,26.72,30.71,1.54,90,69,97,15,2.76,3.08,3.39,2,0.68
59.84,22.15,27.11,28.82,1.0,90,69,97,15,0.1,0.1,0.1,3,0.0
59.01,23.28,28.91,28.63,1.19,90,69,97,15,10.28,10.69,11.11,4,13.28
60.6,36.29,26.12,28.26,1.5,90,69,97,15,0.22,0.24,0.27,5,0.0
57.49,35.28,25.1,26.72,1.0,90,69,97,15,0.1,0.1,0.1,7,0.0
