Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
75.07,37.22,38.64,41.19,1.29,100,120,119,12,3.03,3.22,3.42,2,3.52
77.29,37.9,41.55,41.76,1.14,100,120,119,12,3.03,3.12,3.22,2,1.37
76.13,33.42,40.62,40.98,1.2,100,120,119,12,4.2,4.4,4.59,2,8.2
75.37,34.48,34.16,42.53,1.74,100,120,119,12,3.1,3.56,4.03,2,6.45
75.75,36.6,38.94,39.97,1.13,100,120,119,12,4.13,4.25,4.37,5,6.93
71.89,41.9,39.89,41.33,1.0,100,120,119,12,3.12,3.12,3.12,3,1.46
74.56,33.75,40.26,43.16,1.05,100,120,119,12,3.76,3.81,3.86,1,3.81
75.6,35.83,40.76,44.88,1.21,100,120,119,12,2.47,2.59,2.71,1,0.2
74.85,38.87,38.87,42.6,1.07,100,120,119,12,3.08,3.12,3.17,1,0.78
76.9,38.87,39.46,43.44,1.09,100,120,119,12,2.2,2.25,2.3,4,2.64
76.59,36.53,37.75,43.99,1.04,100,120,119,12,5.52,5.57,5.62,4,10.06
74.78,43.99,39.97,41.69,1.1,100,120,119,12,4.1,4.2,4.3,3,7.42
74.93,34.32,40.76,43.72,1.03,100,120,119,12,3.34,3.37,3.39,3,3.52
71.75,38.27,37.37,41.76,1.24,100,120,119,12,3.1,3.27,3.44,2,4.1
76.51,38.27,39.6,40.83,1.3,100,120,119,12,2.93,3.12,3.32,4,4.59
77.29,37.22,36.45,39.46,1.08,100,120,119,12,2.59,2.64,2.69,2,0.0
75.45,36.83,37.22,42.74,1.18,100,120,119,12,4.78,4.98,5.18,2,10.74
76.36,36.83,41.69,41.4,1.63,100,120,119,12,2.03,2.3,2.56,4,0.59
79.06,38.2,39.67,41.76,1.11,100,120,119,12,2.71,2.78,2.86,2,2.44
76.9,34.24,36.99,41.83,1.24,100,120,119,12,3.1,3.27,3.44,3,2.44
73.9,35.51,39.75,41.26,1.69,100,120,119,12,2.39,2.73,3.08,1,0.68
77.06,38.5,41.4,47.64,1.11,100,120,119,12,2.71,2.78,2.86,3,0.98
77.53,36.99,32.59,42.46,1.07,100,120,119,12,2.98,3.03,3.08,2,2.54
77.45,39.01,38.27,43.51,1.24,100,120,119,12,2.69,2.83,2.98,3,0.1
75.15,36.76,40.98,39.23,1.04,100,120,119,12,2.56,2.59,2.61,3,0.2
80.57,42.88,37.9,41.9,1.0,100,120,119,12,2.25,2.25,2.25,1,0.88
77.92,39.09,40.33,43.65,1.11,100,120,119,12,2.81,2.88,2.95,4,4.88
75.83,36.99,43.16,42.67,1.05,100,120,119,12,4.35,4.4,4.44,3,2.73
74.63,35.83,39.23,41.97,1.03,100,120,119,12,3.83,3.86,3.88,2,3.81
75.75,38.64,40.11,40.83,1.03,100,120,119,12,2.95,2.98,3.0,3,0.0
74.33,38.27,36.83,39.38,1.15,100,120,119,12,2.03,2.1,2.17,3,0.39
77.06,38.5,40.62,41.62,1.59,100,120,119,12,2.56,2.88,3.2,0,1.56
74.93,52.97,46.7,47.3,1.07,106,109,159,11,4.18,4.25,4.32,2,0.49
76.67,53.54,47.44,47.7,1.04,106,109,159,11,5.32,5.37,5.42,2,0.39
67.66,52.9,46.1,46.77,1.23,106,109,159,11,2.78,2.93,3.08,1,0.0
69.96,52.2,46.84,49.8,1.13,106,109,159,11,6.44,6.64,6.84,3,0.59
69.34,53.48,46.17,46.77,1.16,106,109,159,11,2.54,2.64,2.73,2,0.0
69.68,53.74,45.76,47.3,1.01,106,109,159,11,34.94,35.01,35.08,4,95.9
74.26,53.86,46.84,48.49,1.08,106,109,159,11,2.69,2.73,2.78,0,0.0
70.92,54.06,48.3,49.74,1.15,106,109,159,11,5.15,5.32,5.49,2,0.59
70.37,52.78,46.1,48.63,1.0,106,109,159,11,6.54,6.54,6.54,3,1.07
76.44,51.55,48.17,45.15,1.22,106,109,159,11,4.52,4.74,4.96,1,0.29
70.43,53.1,47.77,48.23,1.12,106,109,159,11,2.61,2.69,2.76,2,0.0
69.41,53.03,46.57,49.48,1.57,106,109,159,11,2.22,2.49,2.76,1,0.0
69.61,52.97,46.97,47.3,1.2,106,109,159,11,7.35,7.67,7.98,3,0.68
68.2,52.01,47.83,48.43,1.16,106,109,159,11,2.54,2.64,2.73,2,0.0
