Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
34.72,21.56,21.44,22.72,1.03,24,15,31,10,80.2,80.32,80.44,3,100.0
33.18,21.68,22.38,22.26,1.09,24,15,31,10,3.59,3.66,3.74,2,0.0
33.99,20.22,23.28,24.58,1.0,24,15,31,10,1.27,1.27,1.27,1,0.0
35.59,20.59,23.06,24.79,1.03,24,15,31,10,3.54,3.56,3.59,2,0.0
34.48,22.15,22.72,23.39,1.12,24,15,31,10,5.13,5.27,5.42,2,0.0
33.83,22.95,22.83,22.61,1.2,24,15,31,10,2.15,2.25,2.34,1,0.0
35.43,22.26,21.44,22.38,1.63,24,15,31,10,0.9,1.03,1.15,0,0.0
36.06,21.56,23.5,23.06,1.46,24,15,31,10,1.2,1.32,1.44,1,0.0
90.28,67.66,70.57,71.2,1.19,301,315,421,12,2.25,2.34,2.44,3,0.0
89.85,70.64,70.23,70.5,1.5,301,315,421,12,3.17,3.52,3.86,3,0.0
88.64,69.96,72.6,70.85,1.06,301,315,421,12,5.15,5.22,5.3,3,52.05
89.44,68.6,68.73,70.85,1.16,301,315,421,12,4.05,4.2,4.35,4,0.0
90.28,69.68,70.92,72.82,1.16,301,315,421,12,3.86,4.0,4.15,1,11.43
89.71,67.33,70.57,71.13,1.03,301,315,421,12,3.15,3.17,3.2,4,0.0
90.14,71.27,72.74,70.85,1.31,301,315,421,12,2.1,2.25,2.39,1,0.0
88.01,70.16,69.89,71.33,1.11,301,315,421,12,2.81,2.88,2.95,3,0.0
90.58,68.73,70.57,69.96,1.07,301,315,421,12,2.78,2.83,2.88,3,0.0
91.69,70.99,70.5,72.25,1.13,301,315,421,12,3.32,3.42,3.52,2,0.0
89.85,68.8,69.48,70.92,1.06,301,315,421,12,3.47,3.52,3.56,2,0.0
88.77,67.8,69.96,69.96,1.66,301,315,421,12,1.59,1.81,2.03,2,0.0
91.36,69.41,70.92,70.37,1.09,301,315,421,12,2.2,2.25,2.3,1,0.0
90.28,70.23,71.97,71.54,1.39,301,315,421,12,3.1,3.37,3.64,4,0.0
90.14,67.26,70.71,73.53,1.15,301,315,421,12,2.03,2.1,2.17,2,0.0
91.69,68.73,70.16,70.3,1.42,301,315,421,12,2.37,2.59,2.81,2,0.0
89.71,69.96,70.78,72.18,1.02,301,315,421,12,4.52,4.54,4.57,4,10.94
90.28,69.34,70.57,69.75,1.13,301,315,421,12,2.42,2.49,2.56,2,0.0
90.73,70.09,71.61,71.4,1.28,301,315,421,12,3.96,4.2,4.44,3,0.0
89.85,70.16,69.68,70.09,1.11,301,315,421,12,3.91,4.0,4.1,3,11.91
89.44,67.8,69.75,71.54,1.46,301,315,421,12,1.95,2.15,2.34,2,0.0
89.17,67.4,72.46,69.55,1.49,301,315,421,12,2.08,2.3,2.51,3,0.0
89.57,68.13,70.99,71.61,1.37,301,315,421,12,2.98,3.22,3.47,2,13.67
90.14,68.8,69.55,71.27,1.25,301,315,421,12,3.52,3.71,3.91,2,0.0
90.88,68.47,70.57,70.57,1.26,301,315,421,12,2.49,2.64,2.78,3,0.0
89.85,70.09,69.82,70.85,1.36,301,315,421,12,2.76,2.98,3.2,0,0.0
91.86,68.6,70.43,70.09,1.51,301,315,421,12,1.98,2.2,2.42,4,0.0
90.28,68.26,69.96,70.23,1.13,301,315,421,12,2.32,2.39,2.47,1,0.0
89.85,68.94,70.85,71.75,1.3,301,315,421,12,1.78,1.9,2.03,3,0.0
87.65,69.27,72.18,71.68,1.38,301,315,421,12,2.88,3.12,3.37,5,0.0
90.43,68.47,69.75,71.54,1.47,301,315,421,12,2.61,2.88,3.15,2,0.0
91.2,69.89,68.33,71.54,1.23,301,315,421,12,2.78,2.93,3.08,1,0.0
45.02,24.69,30.27,23.61,1.02,30,42,57,15,5.98,6.01,6.03,2,6.74
44.54,26.72,28.82,20.72,1.17,30,42,57,15,6.49,6.74,6.98,2,6.25
49.02,27.59,29.28,23.5,1.17,30,42,57,15,5.59,5.81,6.03,1,7.13
44.68,26.22,31.83,24.37,1.1,30,42,57,15,6.2,6.35,6.49,2,6.54
44.34,26.02,30.71,20.22,1.08,30,42,57,15,6.47,6.59,6.71,1,6.64
45.9,27.01,29.28,24.47,1.25,30,42,57,15,5.69,6.01,6.32,2,7.03
48.49,26.82,29.0,22.49,1.26,30,42,57,15,6.42,6.79,7.15,2,6.93
48.49,28.54,29.0,22.49,1.17,30,42,57,15,5.88,6.1,6.32,3,5.96
48.1,26.12,28.54,21.32,1.09,30,42,57,15,5.88,6.01,6.13,2,6.54
44.88,27.01,30.0,22.49,1.17,30,42,57,15,7.2,7.47,7.74,1,4.98
47.9,25.92,29.55,22.38,1.0,30,42,57,15,6.54,6.54,6.54,0,4.79
46.37,26.12,28.72,22.15,1.0,30,42,57,15,5.18,5.18,5.18,3,5.76
45.09,26.12,29.28,24.58,1.17,30,42,57,15,6.3,6.54,6.79,1,6.35
43.79,25.92,29.82,21.8,1.0,30,42,57,15,6.35,6.35,6.35,3,5.66
46.7,27.69,29.18,21.2,1.07,30,42,57,15,6.25,6.35,6.44,3,7.71
41.9,27.97,30.79,20.47,1.21,30,42,57,15,5.22,5.47,5.71,4,4.98
52.39,32.93,35.12,28.44,1.09,63,36,65,13,3.39,3.47,3.54,4,0.49
50.13,36.06,33.01,29.73,1.04,63,36,65,13,19.6,19.78,19.95,2,30.66
51.55,34.32,33.01,30.0,1.08,63,36,65,13,3.88,3.96,4.03,4,1.07
52.33,33.91,33.34,26.82,1.31,63,36,65,13,1.37,1.46,1.56,1,0.0
51.88,29.0,32.0,29.09,1.87,63,36,65,13,0.83,0.98,1.12,3,0.0
49.09,35.75,28.26,33.01,1.03,63,36,65,13,25.05,25.2,25.34,2,36.13
50.0,36.99,33.18,29.64,1.0,63,36,65,13,0.19,0.19,0.19,4,0.0
50.2,29.18,29.82,32.84,1.84,63,36,65,13,0.71,0.83,0.95,1,0.0
50.58,35.36,27.88,27.31,1.0,63,36,65,13,0.88,0.88,0.88,1,0.0
50.46,36.37,34.4,29.28,4.01,63,36,65,13,0.17,0.24,0.32,5,0.0
51.1,34.24,35.36,33.75,1.14,63,36,65,13,5.25,5.42,5.59,0,2.34
49.54,34.32,28.35,28.16,2.62,63,36,65,13,0.68,0.88,1.07,3,0.0
50.39,35.43,27.97,28.82,1.87,63,36,65,13,0.83,0.98,1.12,1,0.0
49.48,37.59,32.68,30.53,1.35,63,36,65,13,3.17,3.42,3.66,4,1.37
51.17,34.72,35.98,31.06,1.01,63,36,65,13,17.72,17.77,17.82,2,27.93
50.33,27.59,33.18,27.4,1.07,63,36,65,13,2.78,2.83,2.88,6,0.0
49.54,28.82,34.96,30.88,2.0,63,36,65,13,0.24,0.29,0.34,5,0.0
52.2,33.67,30.09,31.32,1.14,63,36,65,13,0.71,0.73,0.76,3,0.0
50.39,35.75,33.01,30.79,4.06,63,36,65,13,0.85,1.22,1.59,3,0.0
50.26,27.59,32.0,33.01,1.0,63,36,65,13,0.1,0.1,0.1,2,0.0
50.0,27.88,33.75,32.51,1.0,63,36,65,13,0.98,0.98,0.98,3,0.0
50.71,28.54,35.36,26.12,2.0,63,36,65,13,0.12,0.15,0.17,3,0.0
52.52,31.06,33.34,28.44,0.0,63,36,65,13,0.0,0.0,0.0,4,0.0
48.89,27.88,28.91,33.67,0.0,63,36,65,13,0.0,0.0,0.0,4,0.0
50.78,34.72,27.4,30.62,1.13,63,36,65,13,0.81,0.83,0.85,3,0.0
48.17,27.78,33.34,32.09,1.25,63,36,65,13,0.83,0.88,0.93,3,0.0
50.07,33.67,28.44,29.28,1.09,63,36,65,13,1.1,1.12,1.15,1,0.0
49.67,26.52,26.92,31.4,3.01,63,36,65,13,0.15,0.19,0.24,5,0.0
50.07,28.16,28.16,32.51,1.0,63,36,65,13,0.1,0.1,0.1,5,0.0
50.58,26.92,32.51,29.28,2.51,63,36,65,13,0.54,0.68,0.83,3,0.0
50.33,37.06,28.44,29.55,1.34,63,36,65,13,0.64,0.68,0.73,3,0.0
49.15,27.97,33.01,28.44,1.0,63,36,65,13,0.88,0.88,0.88,3,0.0
50.46,33.83,35.67,27.59,0.0,63,36,65,13,0.0,0.0,0.0,4,0.0
51.04,36.06,28.72,30.09,1.29,63,36,65,13,0.73,0.78,0.83,3,0.0
50.2,34.16,34.24,30.09,1.0,63,36,65,13,0.1,0.1,0.1,5,0.0
51.17,35.12,32.09,31.92,1.13,63,36,65,13,0.81,0.83,0.85,1,0.0
48.95,34.16,28.54,32.09,0.0,63,36,65,13,0.0,0.0,0.0,2,0.0
51.36,29.46,33.67,28.82,1.0,63,36,65,13,0.1,0.1,0.1,5,0.0
49.61,32.34,32.17,27.69,1.0,63,36,65,13,0.1,0.1,0.1,4,0.0
51.17,29.0,31.06,30.35,1.0,63,36,65,13,0.1,0.1,0.1,4,0.0
57.68,34.48,40.83,40.55,1.06,55,71,84,11,26.66,26.95,27.25,0,40.04
55.9,36.53,43.37,42.46,1.23,55,71,84,11,5.66,5.96,6.25,1,0.29
60.09,34.8,43.09,41.83,1.71,55,71,84,11,1.49,1.71,1.93,3,0.68
58.69,37.14,42.04,42.88,1.17,55,71,84,11,4.47,4.64,4.81,2,0.39
56.47,34.32,41.05,43.51,1.19,55,71,84,11,3.88,4.05,4.22,2,1.56
