Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
55.65,29.09,33.59,27.97,1.45,80,54,72,11,11.45,12.45,13.45,4,13.57
55.97,28.54,28.16,28.16,1.08,80,54,72,11,2.59,2.64,2.69,3,0.2
63.87,28.91,32.0,27.01,1.14,80,54,72,11,11.96,12.31,12.65,0,14.94
65.16,30.27,31.14,24.9,1.21,80,54,72,11,4.1,4.3,4.49,1,0.29
63.74,25.41,29.18,28.26,1.11,80,54,72,11,2.71,2.78,2.86,1,1.27
58.25,29.46,34.8,27.11,1.17,80,54,72,11,9.23,9.57,9.91,3,15.43
65.69,28.44,33.42,27.4,1.38,80,54,72,11,3.2,3.47,3.74,2,0.2
57.23,29.73,32.68,27.59,1.25,80,54,72,11,9.89,10.4,10.91,2,12.79
58.25,28.35,30.62,27.78,1.13,80,54,72,11,11.65,11.96,12.28,2,16.99
64.13,24.9,32.34,29.18,1.14,80,54,72,11,3.03,3.12,3.22,2,0.59
58.95,32.09,32.76,27.59,1.25,80,54,72,11,3.42,3.61,3.81,3,2.54
55.27,27.4,35.36,26.92,1.33,80,54,72,11,3.69,3.96,4.22,3,3.81
57.17,23.28,31.75,26.32,1.05,80,54,72,11,5.84,5.91,5.98,1,7.23
56.28,30.97,34.56,28.07,1.26,80,54,72,11,5.91,6.25,6.59,1,7.71
57.11,29.28,29.09,27.01,1.16,80,54,72,11,3.96,4.1,4.25,2,2.15
56.47,30.35,30.27,27.31,1.37,80,54,72,11,2.66,2.88,3.1,2,0.29
59.33,33.75,21.92,33.59,1.43,55,68,82,11,3.12,3.42,3.71,1,1.27
54.57,31.57,21.56,32.09,1.06,55,68,82,11,28.81,29.1,29.4,0,40.04
56.03,34.56,21.44,32.42,1.43,55,68,82,11,5.37,5.86,6.35,1,0.29
54.63,34.88,23.17,32.17,1.1,55,68,82,11,21.9,22.31,22.73,1,40.43
55.84,33.09,21.56,33.42,1.15,55,68,82,11,4.15,4.3,4.44,4,3.61
55.46,35.51,20.96,31.92,1.13,55,68,82,11,2.42,2.49,2.56,2,0.78
60.98,35.12,21.92,31.83,1.77,55,68,82,11,1.39,1.61,1.83,3,0.2
56.28,33.59,22.95,31.57,1.06,55,68,82,11,5.25,5.32,5.4,1,6.05
59.84,34.32,21.32,32.93,1.19,55,68,82,11,4.59,4.78,4.98,2,0.59
54.88,34.08,21.2,32.59,1.34,55,68,82,11,2.22,2.39,2.56,3,0.88
55.97,33.75,22.72,32.34,1.07,55,68,82,11,1.49,1.51,1.54,3,0.39
60.22,34.24,21.8,33.75,1.2,55,68,82,11,3.69,3.86,4.03,2,1.76
55.39,33.09,21.08,32.17,1.97,55,68,82,11,1.93,2.3,2.66,2,0.39
55.65,32.68,23.17,32.42,1.0,55,68,82,11,2.05,2.05,2.05,2,0.39
55.2,34.72,20.72,29.28,1.14,55,68,82,11,2.93,3.03,3.12,2,0.78
55.46,33.26,22.61,32.76,1.34,55,68,82,11,2.22,2.39,2.56,3,2.15
55.2,38.79,31.83,33.83,1.09,63,36,65,13,3.59,3.66,3.74,4,0.0
52.9,38.05,37.9,31.92,1.05,63,36,65,13,18.94,19.14,19.34,2,27.83
54.44,38.12,32.42,30.53,2.68,63,36,65,13,0.42,0.54,0.66,3,0.0
54.95,36.6,31.57,33.26,1.31,63,36,65,13,22.83,24.07,25.32,2,41.41
55.08,38.2,31.75,33.42,1.0,63,36,65,13,0.29,0.29,0.29,5,0.0
54.82,32.51,31.66,32.93,1.11,63,36,65,13,6.01,6.15,6.3,0,2.34
52.97,37.37,35.51,33.5,1.5,63,36,65,13,0.44,0.49,0.54,1,0.0
54.76,37.52,35.9,31.49,1.33,63,36,65,13,0.32,0.34,0.37,3,0.0
54.25,30.0,34.56,33.09,1.28,63,36,65,13,19.46,20.46,21.46,2,25.59
54.06,39.67,35.51,32.68,2.21,63,36,65,13,0.64,0.78,0.93,3,0.0
53.99,33.34,36.6,34.64,0.0,63,36,65,13,0.0,0.0,0.0,2,0.0
53.42,35.67,32.34,35.2,1.23,63,36,65,13,2.78,2.93,3.08,6,0.0
55.2,39.53,35.9,32.34,2.34,63,36,65,13,0.39,0.49,0.59,1,0.0
52.9,31.06,31.32,31.83,1.19,63,36,65,13,5.0,5.22,5.44,4,1.46
52.39,38.05,36.29,31.57,5.02,63,36,65,13,0.19,0.29,0.39,3,0.0
54.44,37.97,31.83,30.44,1.11,63,36,65,13,0.9,0.93,0.95,3,0.0
54.12,31.32,32.0,31.92,1.0,63,36,65,13,0.1,0.1,0.1,4,0.0
53.67,36.6,31.83,32.42,10.09,63,36,65,13,0.32,0.54,0.76,1,0.0
54.18,31.83,31.14,32.76,1.43,63,36,65,13,4.2,4.59,4.98,4,1.37
53.29,32.68,31.57,31.83,1.34,63,36,65,13,0.95,1.03,1.1,1,0.0
54.06,37.82,35.75,31.49,2.02,63,36,65,13,0.98,1.17,1.37,3,0.0
53.99,36.45,35.28,30.35,1.25,63,36,65,13,0.42,0.44,0.46,3,0.0
53.8,31.92,35.36,31.92,1.5,63,36,65,13,0.22,0.24,0.27,5,0.0
53.93,30.79,33.09,34.32,1.4,63,36,65,13,0.54,0.59,0.64,3,0.0
52.97,37.75,35.98,30.62,0.0,63,36,65,13,0.0,0.0,0.0,4,0.0
53.67,31.4,32.09,32.34,1.22,63,36,65,13,0.93,0.98,1.03,1,0.0
55.08,32.26,32.76,33.99,2.51,63,36,65,13,0.27,0.34,0.42,1,0.0
54.63,36.99,31.83,32.59,1.25,63,36,65,13,0.42,0.44,0.46,3,0.0
54.25,36.68,33.5,32.76,3.01,63,36,65,13,0.15,0.19,0.24,5,0.0
53.23,32.51,32.42,32.51,1.4,63,36,65,13,0.54,0.59,0.64,3,0.0
55.71,35.83,37.82,30.97,1.0,63,36,65,13,0.19,0.19,0.19,5,0.0
53.93,32.26,32.09,32.09,0.0,63,36,65,13,0.0,0.0,0.0,5,0.0
55.39,31.4,31.57,32.26,1.0,63,36,65,13,0.39,0.39,0.39,3,0.0
54.06,38.72,35.75,32.0,1.67,63,36,65,13,0.34,0.39,0.44,5,0.0
53.8,41.05,34.8,33.42,1.0,63,36,65,13,0.1,0.1,0.1,2,0.0
53.74,37.67,34.88,31.75,2.0,63,36,65,13,0.24,0.29,0.34,3,0.0
29.18,27.01,28.16,30.88,1.51,65,26,55,12,1.32,1.46,1.61,2,0.0
29.09,26.02,24.69,28.07,1.12,65,26,55,12,3.42,3.52,3.61,0,0.0
27.69,26.02,26.52,27.5,1.09,65,26,55,12,14.43,14.7,14.97,1,17.58
28.35,26.62,27.97,28.54,1.01,65,26,55,12,14.97,14.99,15.02,1,19.04
28.26,24.05,27.31,26.52,1.04,65,26,55,12,16.16,16.31,16.46,1,22.36
29.0,29.55,26.12,29.0,1.03,65,26,55,12,17.31,17.43,17.55,1,20.7
26.82,27.4,26.12,28.82,1.03,65,26,55,12,14.55,14.65,14.75,1,20.31
28.91,25.52,25.92,28.07,1.18,65,26,55,12,1.12,1.17,1.22,2,0.0
27.11,26.62,26.52,27.5,2.53,65,26,55,12,1.07,1.37,1.66,2,0.0
28.26,24.26,27.21,27.97,1.0,65,26,55,12,0.1,0.1,0.1,3,0.0
27.88,25.52,25.72,27.69,1.3,65,26,55,12,1.05,1.12,1.2,2,0.0
29.91,25.21,26.42,26.02,1.25,65,26,55,12,0.83,0.88,0.93,2,0.0
25.92,24.9,25.52,27.5,1.25,65,26,55,12,0.42,0.44,0.46,3,0.0
26.12,25.21,26.62,26.92,1.5,65,26,55,12,0.22,0.24,0.27,3,0.0
27.5,26.72,27.69,27.5,1.06,65,26,55,12,1.59,1.61,1.64,2,0.0
29.46,25.0,25.72,27.69,9.07,65,26,55,12,0.29,0.49,0.68,3,0.0
28.35,26.22,28.07,28.07,1.07,65,26,55,12,1.49,1.51,1.54,2,0.0
29.09,25.52,24.79,29.18,1.25,65,26,55,12,0.83,0.88,0.93,3,0.0
26.22,26.32,25.92,27.69,2.51,65,26,55,12,0.27,0.34,0.42,3,0.0
30.0,26.72,26.22,27.01,5.04,65,26,55,12,0.39,0.59,0.78,2,0.0
29.64,24.05,27.11,28.54,1.0,65,26,55,12,0.49,0.49,0.49,3,0.0
27.01,24.37,26.22,29.0,2.01,65,26,55,12,0.37,0.44,0.51,3,0.0
30.44,28.63,28.35,27.78,1.41,65,26,55,12,1.07,1.17,1.27,2,0.0
