Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
43.23,25.62,26.32,25.41,1.06,37,27,49,8,35.38,35.69,36.01,1,42.68
45.76,23.83,26.72,23.06,1.23,37,27,49,8,3.3,3.47,3.64,1,1.56
43.92,23.39,26.32,22.61,1.09,37,27,49,8,8.67,8.84,9.01,0,0.78
44.68,24.69,27.97,24.05,1.08,37,27,49,8,5.18,5.27,5.37,2,6.35
44.54,25.1,24.69,24.58,1.38,37,27,49,8,3.2,3.47,3.74,3,1.86
42.6,22.15,27.78,24.58,1.2,37,27,49,8,4.91,5.13,5.35,2,5.37
45.36,24.26,27.21,22.38,1.09,37,27,49,8,31.32,31.79,32.25,2,40.23
45.63,23.28,28.72,25.82,1.04,37,27,49,8,5.13,5.18,5.22,1,1.17
24.37,23.17,19.96,24.58,1.14,60,21,39,9,70.7,71.39,72.07,2,100.0
22.95,21.32,23.28,25.0,1.5,60,21,39,9,0.44,0.49,0.54,3,0.0
24.58,19.96,20.59,23.06,2.01,60,21,39,9,0.61,0.73,0.85,2,0.0
24.15,21.2,21.08,23.61,1.25,60,21,39,9,1.24,1.32,1.39,2,0.0
23.06,18.38,22.61,25.1,1.22,60,21,39,9,1.44,1.51,1.59,1,0.0
24.05,19.58,21.2,24.37,1.42,60,21,39,9,2.9,3.17,3.44,3,0.0
23.17,20.59,22.03,22.72,1.03,60,21,39,9,3.25,3.27,3.3,2,0.0
23.5,20.34,22.03,26.62,1.05,60,21,39,9,3.96,4.0,4.05,3,0.0
24.15,22.38,21.44,25.82,1.47,60,21,39,9,2.39,2.64,2.88,1,0.0
24.05,21.2,21.44,23.06,1.13,60,21,39,9,3.22,3.32,3.42,1,0.0
24.79,20.72,19.96,24.58,2.51,60,21,39,9,0.27,0.34,0.42,2,0.0
23.17,21.2,20.84,24.26,1.6,60,21,39,9,0.56,0.64,0.71,1,0.0
22.26,21.56,21.44,24.15,1.17,60,21,39,9,1.22,1.27,1.32,2,0.0
24.79,21.68,21.32,23.5,1.13,60,21,39,9,1.61,1.66,1.71,3,0.0
22.61,23.39,21.56,24.58,1.13,60,21,39,9,0.81,0.83,0.85,0,0.0
24.79,21.8,19.45,23.83,1.0,60,21,39,9,0.78,0.78,0.78,4,0.0
29.09,20.22,22.95,16.95,1.26,18,15,30,11,11.04,11.62,12.21,2,11.91
30.35,20.22,22.26,17.68,1.18,18,15,30,11,12.38,12.84,13.31,1,13.28
28.07,19.58,22.26,16.65,1.11,18,15,30,11,12.31,12.6,12.89,2,14.75
29.55,21.08,22.61,16.19,1.06,18,15,30,11,12.96,13.14,13.31,1,11.52
29.09,19.58,22.49,15.56,1.22,18,15,30,11,12.38,12.94,13.5,1,13.67
27.69,21.08,23.61,17.1,1.09,18,15,30,11,13.62,13.87,14.11,0,11.43
29.0,19.58,21.56,17.39,1.04,18,15,30,11,9.96,10.06,10.16,3,10.94
29.18,18.92,22.61,16.65,1.05,18,15,30,11,12.13,12.26,12.38,2,12.5
17.82,16.8,17.68,16.04,1.06,45,4,20,8,5.35,5.42,5.49,1,2.54
16.95,16.95,17.68,16.65,1.03,45,4,20,8,54.86,55.03,55.2,2,62.21
16.04,15.72,16.95,16.8,1.04,45,4,20,8,30.96,31.15,31.35,1,34.18
15.07,16.5,17.68,16.35,1.22,45,4,20,8,0.93,0.98,1.03,0,0.0
15.07,15.24,17.1,17.68,1.22,45,4,20,8,1.95,2.05,2.15,3,0.0
16.8,18.24,17.25,16.65,2.23,45,4,20,8,1.27,1.56,1.86,2,0.98
16.8,16.5,18.1,14.91,1.0,45,4,20,8,0.78,0.78,0.78,2,0.1
16.35,15.88,16.5,18.79,1.0,45,4,20,8,0.1,0.1,0.1,1,0.0
30.62,20.59,20.72,19.96,1.34,40,12,42,8,2.54,2.73,2.93,2,0.49
