Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
89.57,88.39,87.29,88.14,1.25,565,1023,1141,10,4.35,4.59,4.83,3,0.0
89.71,87.29,84.58,90.14,1.32,565,1023,1141,10,3.05,3.27,3.49,1,0.0
90.28,88.39,86.27,88.64,1.08,565,1023,1141,10,2.59,2.64,2.69,2,0.0
89.03,88.39,86.05,89.71,1.24,565,1023,1141,10,2.17,2.3,2.42,1,0.0
90.0,88.52,87.18,90.73,1.03,565,1023,1141,10,3.25,3.27,3.3,2,0.0
89.71,89.3,85.3,89.71,1.41,565,1023,1141,10,2.69,2.93,3.17,4,0.0
89.44,88.39,85.09,88.64,1.59,565,1023,1141,10,2.34,2.64,2.93,4,52.44
89.03,88.01,86.16,88.52,1.03,565,1023,1141,10,3.93,3.96,3.98,4,0.0
89.17,88.9,85.83,88.01,1.42,565,1023,1141,10,3.22,3.52,3.81,2,0.0
89.03,88.52,85.72,89.57,1.03,565,1023,1141,10,2.95,2.98,3.0,2,0.0
90.73,88.39,86.94,88.52,1.43,565,1023,1141,10,3.98,4.35,4.71,4,0.0
89.17,87.53,86.94,89.17,1.14,565,1023,1141,10,3.64,3.76,3.88,3,0.0
90.58,89.71,86.38,89.85,1.08,565,1023,1141,10,2.69,2.73,2.78,0,0.0
90.14,89.03,85.94,90.14,1.57,565,1023,1141,10,3.88,4.35,4.81,3,13.67
89.44,87.18,86.83,88.26,1.03,565,1023,1141,10,3.54,3.56,3.59,3,0.0
89.57,88.77,86.49,88.52,1.26,565,1023,1141,10,2.9,3.08,3.25,2,0.0
90.28,88.14,84.47,89.03,1.15,565,1023,1141,10,2.83,2.93,3.03,1,0.0
90.28,88.64,85.72,88.9,1.37,565,1023,1141,10,2.66,2.88,3.1,3,0.0
89.71,89.57,86.38,89.44,1.15,565,1023,1141,10,2.73,2.83,2.93,4,0.0
89.57,89.03,86.94,90.14,1.13,565,1023,1141,10,2.42,2.49,2.56,3,0.0
87.29,87.41,87.41,89.71,1.17,565,1023,1141,10,2.44,2.54,2.64,1,11.43
87.89,86.72,86.6,88.77,1.13,565,1023,1141,10,3.32,3.42,3.52,3,0.0
90.28,88.64,85.94,88.26,1.25,565,1023,1141,10,3.83,4.05,4.27,5,10.94
90.14,89.71,86.27,89.85,1.17,565,1023,1141,10,3.05,3.17,3.3,1,0.0
89.44,89.44,86.27,90.14,1.26,565,1023,1141,10,2.9,3.08,3.25,2,0.0
90.0,88.9,85.94,87.29,1.09,565,1023,1141,10,2.39,2.44,2.49,3,0.0
