Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
31.23,28.63,29.0,26.72,1.09,27,6,28,8,12.65,12.89,13.14,3,10.94
33.67,26.92,27.97,28.72,1.01,27,6,28,8,12.62,12.65,12.67,2,14.75
34.16,28.35,27.88,27.59,1.09,27,6,28,8,12.06,12.31,12.55,1,13.28
29.28,27.69,29.18,29.18,1.04,27,6,28,8,12.92,13.04,13.16,2,11.91
34.8,30.27,27.01,27.4,1.36,27,6,28,8,13.04,13.96,14.89,0,11.43
34.16,27.88,28.54,28.35,1.03,27,6,28,8,11.4,11.48,11.55,2,12.5
34.16,27.88,29.18,29.18,1.04,27,6,28,8,12.01,12.11,12.21,1,13.67
30.0,27.11,27.88,29.46,1.12,27,6,28,8,12.72,13.04,13.35,1,11.52
90.73,78.4,76.98,66.14,1.32,307,381,496,10,3.47,3.71,3.96,2,0.0
91.69,79.06,78.97,67.73,1.05,307,381,496,10,3.96,4.0,4.05,1,0.0
91.2,80.32,78.65,66.21,1.39,307,381,496,10,3.1,3.37,3.64,2,0.0
93.34,78.16,78.24,65.69,1.07,307,381,496,10,2.78,2.83,2.88,2,5.66
90.88,78.4,78.57,66.47,1.35,307,381,496,10,2.86,3.08,3.3,4,0.0
90.58,78.65,77.92,66.8,1.07,307,381,496,10,4.76,4.83,4.91,0,0.0
92.2,78.97,79.06,66.74,1.08,307,381,496,10,3.98,4.05,4.13,1,0.0
90.0,79.06,77.37,67.4,1.27,307,381,496,10,3.22,3.42,3.61,3,5.86
91.36,80.32,78.57,67.26,1.26,307,381,496,10,3.32,3.52,3.71,3,0.0
91.36,79.06,79.22,66.34,1.04,307,381,496,10,2.76,2.78,2.81,4,4.2
90.0,80.4,79.55,68.53,1.15,307,381,496,10,4.25,4.4,4.54,1,0.0
90.43,80.23,77.37,68.13,1.04,307,381,496,10,2.76,2.78,2.81,4,9.67
89.85,78.97,77.45,67.66,1.14,307,381,496,10,3.03,3.12,3.22,2,5.47
91.04,78.65,78.32,65.55,1.17,307,381,496,10,2.44,2.54,2.64,3,5.66
90.14,78.57,77.92,65.29,2.04,307,381,496,10,2.44,2.93,3.42,2,0.0
91.52,78.89,78.73,66.14,1.11,307,381,496,10,2.71,2.78,2.86,4,11.43
91.69,77.92,78.16,68.47,1.04,307,381,496,10,2.37,2.39,2.42,3,0.0
